#	Temperature (K)	   Magnetization		C_v	
      0.010000631849      0.416149642627	0.534903952082E+06
      2.102014697255      0.430103576361	0.211651531558E+02
      4.194028762661      0.435751021483	0.164153910954E+01
      6.286042828066      0.433955280023	0.145936920562E+01
      8.378056893472      0.434472075566	0.161824922927E+01
     10.470070958878      0.433317006023	0.983139704433E+00
     12.562085024284      0.431881357787	0.157133757815E+01
     14.654099089690      0.429700479159	0.944874500043E+00
     16.746113155096      0.430315666161	0.958021026941E+00
     18.838127220502      0.427624990465	0.102205078961E+01
     20.930141285908      0.427701777801	0.936502007903E+00
     23.022155351314      0.425879306549	0.148793880367E+01
     25.114169416720      0.424514458486	0.106045325803E+01
     27.206183482126      0.423390553330	0.101182668197E+01
     29.298197547532      0.422046228538	0.992172856884E+00
     31.390211612938      0.420579934785	0.954406769152E+00
     33.482225678343      0.419476593542	0.943952119657E+00
     35.574239743749      0.418146695183	0.932678469219E+00
     37.666253809155      0.416787956038	0.952759946015E+00
     39.758267874561      0.415342894671	0.913151237657E+00
     41.850281939967      0.414006705108	0.984796586628E+00
     43.942296005373      0.412621140607	0.943696007974E+00
     46.034310070779      0.411156969909	0.945081432712E+00
     48.126324136185      0.409849245403	0.100220728863E+01
     50.218338201591      0.408514221260	0.977268461255E+00
     52.310352266997      0.406920539400	0.981960112211E+00
     54.402366332403      0.405594240315	0.956519186357E+00
     56.494380397809      0.404406925371	0.936608659375E+00
     58.586394463214      0.402861327240	0.961296516110E+00
     60.678408528620      0.401381134787	0.979203087382E+00
     62.770422594026      0.400048707958	0.973482032570E+00
     64.862436659432      0.398854967204	0.935277981346E+00
     66.954450724838      0.397368197015	0.948549744440E+00
     69.046464790244      0.396223494071	0.956551204555E+00
     71.138478855650      0.394882818222	0.952290172212E+00
     73.230492921056      0.393535450341	0.953026540108E+00
     75.322506986462      0.392105950742	0.977096253863E+00
     77.414521051868      0.390787510303	0.970500770340E+00
     79.506535117274      0.389202507024	0.992273934700E+00
     81.598549182680      0.387638792102	0.957646517671E+00
     83.690563248086      0.386269495920	0.962755825616E+00
     85.782577313492      0.385178975929	0.979725822403E+00
     87.874591378897      0.383766000323	0.958848537855E+00
     89.966605444303      0.382349614531	0.950112524314E+00
     92.058619509709      0.381098858092	0.979391784292E+00
     94.150633575115      0.379755720452	0.965292886879E+00
     96.242647640521      0.378227976622	0.977653509356E+00
     98.334661705927      0.376908893461	0.963323736720E+00
    100.426675771333      0.375325469759	0.976448499793E+00
    102.518689836739      0.373832604608	0.974139077520E+00
    104.610703902145      0.372509999405	0.981213446274E+00
    106.702717967551      0.371273976096	0.967745970374E+00
    108.794732032957      0.369748320434	0.969990362026E+00
    110.886746098363      0.368506727335	0.963589742866E+00
    112.978760163768      0.367180960760	0.982662222556E+00
    115.070774229174      0.365644157700	0.976572020440E+00
    117.162788294580      0.364398061021	0.980909055684E+00
    119.254802359986      0.363110727541	0.988887072096E+00
    121.346816425392      0.361512132822	0.963376365349E+00
    123.438830490798      0.360005870073	0.976139905605E+00
    125.530844556204      0.358710071121	0.101179367300E+01
    127.622858621610      0.357222479897	0.968912177531E+00
    129.714872687016      0.355973654865	0.983398408291E+00
    131.806886752422      0.354577655116	0.972699642174E+00
    133.898900817828      0.353317062616	0.964850455794E+00
    135.990914883234      0.351617412221	0.995886568232E+00
    138.082928948640      0.350212535461	0.992188513015E+00
    140.174943014045      0.348774175529	0.100718432662E+01
    142.266957079451      0.347251322786	0.950905035581E+00
    144.358971144857      0.345924705979	0.101528130100E+01
    146.450985210263      0.344297422595	0.993321923000E+00
    148.542999275669      0.342875742922	0.102990925612E+01
    150.635013341075      0.341289697741	0.974875778152E+00
    152.727027406481      0.339955336389	0.984710402517E+00
    154.819041471887      0.338188130569	0.991768416983E+00
    156.911055537293      0.336491858294	0.997234713346E+00
    159.003069602699      0.335504298770	0.976377192773E+00
