i	Axx	Axy	Axz	Ayx	Ayy	Ayz	Azx	Azy	Azz	|D|	i     	 eig_1 	 eig_2 	 eig_3 	     max|eig| 	 magnitude
36	-0.602	-0.077	0.286	-0.077	0.181	-0.050	0.286	-0.050	0.000	0.758888793	36       -0.7193     0.0666     0.2318     0.719347     0.7587
37	0.279	-0.011	0.460	-0.011	0.765	0.581	0.460	0.581	0.000	1.327678711	37       -0.5286     0.4359     1.1367     1.136741     1.3273
38	0.035	0.207	0.061	0.207	0.349	0.118	0.061	0.118	0.000	0.494022024	38       -0.0679    -0.0360     0.4880     0.487956     0.4940
39	-0.935	0.220	0.096	0.220	-0.847	0.281	0.096	0.281	0.000	1.365535895	39       -1.1266    -0.7640     0.1086     1.126623     1.3656
40	-0.526	0.026	-0.183	0.026	-0.334	0.301	-0.183	0.301	0.000	0.798601277	40       -0.6482    -0.4182     0.2065     0.648243     0.7986
41	-0.602	0.029	0.115	0.029	-0.345	0.258	0.115	0.258	0.000	0.80129308	41       -0.6251    -0.4773     0.1554     0.625119     0.8017
42	0.181	-0.051	-0.564	-0.051	-0.475	-0.191	-0.564	-0.191	0.000	0.986187487	42       -0.6590    -0.3032     0.6682     0.668204     0.9863
43	-0.243	-0.233	-0.579	-0.233	0.410	0.478	-0.579	0.478	0.000	1.209515283	43       -0.7290    -0.0670     0.9630     0.962971     1.2096
44	0.241	0.163	-0.033	0.163	0.020	-0.060	-0.033	-0.060	0.000	0.347547205	44       -0.0848     0.0085     0.3372     0.337249     0.3478
45	0.000	0.000	0.009	0.000	-0.038	0.040	0.009	0.040	0.000	0.069028255	45       -0.0637    -0.0018     0.0274     0.063650     0.0693
46	-0.327	0.076	-0.130	0.076	-0.472	-0.219	-0.130	-0.219	0.000	0.686340877	46       -0.5607    -0.3724     0.1341     0.560668     0.6863
47	-1.226	-0.192	-0.293	-0.192	-0.281	0.211	-0.293	0.211	0.000	1.383791964	47       -1.3125    -0.3931     0.1986     1.312457     1.3844
48	-0.599	0.388	0.090	0.388	-0.483	-0.349	0.090	-0.349	0.000	1.073652551	48       -1.0232    -0.2578     0.1990     1.023184     1.0738
