-0.032	-0.116	-1.193	1.199053377
0.116	-0.413	-1.557	1.61501517
0.047	-0.041	1.138	1.139707857
-0.002	0.123	1.623	1.627655369
0.054	0.103	1.872	1.875608968
-0.007	-0.01	-0.217	0.217343047
-0.058	0.141	0.644	0.66180133
0.017	0.16	1.915	1.921747642
0.06	-0.076	1.549	1.552023518
0.014	0.095	0.974	0.978722126
0.047	0.109	2.586	2.588722851
0.069	0.044	1.722	1.723943445
0.015	0.099	1.308	1.31182697
-0.02	-0.162	-1.306	1.316161084
0.046	0.187	2.056	2.064999031
0.084	-0.421	-1.892	1.940093039
0.038	0.13	1.574	1.579816445
-0.033	0.13	1.521	1.526902092
-0.031	0.189	1.344	1.35757799
0.029	0.157	1.893	1.899720769
0.07	-0.33	-1.903	1.93266888
0.048	0.117	1.851	1.855315068
-0.017	0.148	1.729	1.735406004
-0.058	0.282	1.626	1.651291616
-0.006	0.13	1.799	1.803700918
0.125	-0.35	-1.73	1.76947026
0.051	0.123	1.889	1.893687144
-0.035	0.118	1.293	1.298844871
0.001	-0.021	-0.132	0.133663757
0.029	0.017	1.287	1.287438931
0.014	0.162	1.903	1.909934292
-0.006	0.085	1.167	1.170106833
0.009	0.156	1.854	1.860573299
-0.023	-0.067	-0.543	0.547601132
0.029	0.134	1.759	1.764335002
-0.15	-0.169	-2.006	2.018686949
0.009	0.213	2.308	2.317825274
0.02	0.06	1.293	1.294545866
0.025	0.09	1.95	1.952235898
0.044	0.154	2.031	2.037305328
0.005	0.116	1.71	1.71393728
0.034	0.192	2.395	2.40292426
0.022	0.124	1.797	1.801407505
0.013	0.095	1.337	1.340433885
-0.001	0	0.067	0.067007462
0.027	0.114	1.494	1.498586334
0.08	0.117	1.761	1.766694654
0.104	-0.493	-1.848	1.915455298
