Mx My Mz abs(M)
0.425 0.379 -1.473 1.57924
-0.544 -0.437 1.969 2.08899
-0.446 -0.373 1.684 1.78154
-0.466 -0.425 1.754 1.86395
-0.521 -0.446 1.864 1.98617
0.239 0.178 -0.867 0.916785
-0.329 -0.300 1.292 1.36657
-0.419 -0.340 1.513 1.60634
-0.436 -0.417 1.614 1.72307
-0.502 -0.403 1.763 1.87685
-0.651 -0.545 2.331 2.4808
-0.535 -0.438 1.910 2.0313
-0.383 -0.380 1.429 1.52746
-0.168 -0.159 0.673 0.711642
-0.520 -0.432 1.899 2.01574
-0.512 -0.420 1.857 1.97155
-0.385 -0.322 1.371 1.45998
-0.453 -0.346 1.549 1.65055
-0.385 -0.297 1.394 1.47637
-0.104 -0.097 0.359 0.386142
-0.504 -0.413 1.724 1.84303
-0.442 -0.414 1.661 1.76796
-0.479 -0.361 1.628 1.73498
-0.440 -0.365 1.602 1.70095
-0.584 -0.474 1.919 2.06114
-0.526 -0.454 1.865 1.99023
-0.579 -0.494 2.094 2.22803
-0.273 -0.243 1.060 1.12124
0.083 0.077 -0.314 0.333787
-0.538 -0.441 1.824 1.95215
-0.441 -0.367 1.599 1.69881
-0.563 -0.514 2.039 2.17685
0.500 0.512 -1.709 1.85279
-0.414 -0.342 1.491 1.58475
-0.305 -0.233 0.985 1.05714
-0.608 -0.521 2.191 2.33272
-0.675 -0.589 2.494 2.65002
-0.418 -0.364 1.476 1.57664
-0.589 -0.487 2.131 2.2639
-0.474 -0.403 1.714 1.82343
-0.415 -0.406 1.559 1.66359
-0.583 -0.492 2.165 2.29547
-0.448 -0.350 1.564 1.66412
-0.435 -0.338 1.502 1.59984
-0.163 -0.145 0.600 0.638431
-0.316 -0.268 1.195 1.26479
-0.567 -0.470 2.060 2.18769
-0.490 -0.409 1.819 1.92773
