Mx My Mz abs(M)
-0.207 0.180 2.230 2.24681
-0.138 0.121 1.286 1.29903
-0.044 0.040 0.497 0.500545
-0.130 0.058 0.806 0.818474
-0.247 0.183 2.169 2.19068
-0.163 0.137 1.779 1.7917
-0.163 0.174 1.775 1.79094
-0.066 0.074 1.696 1.6989
-0.113 0.079 0.963 0.97282
0.090 -0.143 -1.402 1.41214
-0.253 0.198 2.282 2.3045
-0.236 0.172 2.304 2.32243
-0.207 0.163 1.834 1.85283
-0.192 0.130 1.625 1.64146
0.083 -0.086 -1.801 1.80496
0.232 -0.165 -1.800 1.82237
-0.214 0.195 2.037 2.05747
-0.249 0.229 2.432 2.45542
0.084 -0.051 -0.665 0.672222
-0.139 0.072 1.113 1.12395
-0.062 0.030 0.587 0.591027
0.243 -0.147 -1.983 2.00323
-0.071 0.030 0.521 0.526671
-0.162 0.153 1.555 1.57088
-0.220 0.161 2.114 2.13151
-0.210 0.181 2.110 2.12814
0.121 0.020 -2.077 2.08062
-0.225 0.180 2.294 2.31203
-0.176 0.149 1.798 1.81273
0.099 -0.072 -1.678 1.68246
0.069 -0.061 -1.456 1.45891
-0.135 0.092 1.258 1.26856
-0.186 0.141 1.936 1.95002
-0.228 0.195 2.367 2.38594
-0.161 0.107 1.425 1.43805
-0.204 0.197 2.199 2.21721
-0.132 0.122 1.642 1.65181
0.025 -0.013 -0.431 0.43192
-0.208 0.200 2.088 2.10784
-0.202 0.171 1.960 1.97779
-0.209 0.194 2.081 2.10045
-0.171 0.182 1.805 1.82219
-0.146 0.117 1.671 1.68144
-0.088 0.051 0.785 0.791562
-0.212 0.237 2.313 2.33476
-0.114 0.093 1.804 1.80999
0.016 -0.012 -0.144 0.145382
0.156 -0.124 -1.276 1.29147
