Mx My Mz abs(M)
0.097 0.001 -1.804 1.80661
0.103 -0.008 -1.698 1.70114
-0.030 0.031 1.658 1.65856
0.110 -0.002 -1.472 1.47611
-0.100 -0.061 1.000 1.00684
-0.027 0.005 2.165 2.16517
-0.012 -0.008 0.887 0.887117
-0.035 0.018 1.235 1.23563
0.021 -0.009 -0.540 0.540483
0.001 0.001 -0.026 0.0260384
-0.060 0.009 0.711 0.713584
-0.067 -0.036 1.472 1.47396
0.028 -0.007 -0.512 0.512813
-0.087 0.019 1.921 1.92306
0.113 -0.032 -2.291 2.29401
0.001 -0.007 1.235 1.23502
-0.090 -0.023 2.278 2.27989
0.117 -0.085 -1.698 1.70415
-0.075 -0.006 1.724 1.72564
0.158 -0.046 -1.932 1.939
-0.026 -0.020 1.994 1.99427
-0.024 0.008 1.033 1.03331
-0.038 0.011 1.888 1.88841
-0.039 0.018 1.755 1.75553
-0.077 -0.002 2.342 2.34327
-0.036 -0.009 2.123 2.12332
0.054 -0.007 -0.508 0.51091
-0.038 0.016 2.224 2.22438
0.143 -0.001 -1.898 1.90338
-0.031 0.013 0.620 0.620911
0.120 0.006 -1.658 1.66235
0.003 -0.011 -0.534 0.534122
-0.059 -0.031 1.494 1.49549
-0.000 0.001 -0.023 0.0230217
-0.048 0.023 1.719 1.71982
0.011 -0.017 -0.574 0.574357
-0.052 0.006 1.769 1.76977
-0.011 0.015 2.099 2.09908
-0.080 0.018 2.373 2.37442
-0.055 0.017 1.975 1.97584
0.210 -0.019 -2.202 2.21207
-0.100 0.026 2.021 2.02364
0.043 -0.012 -1.269 1.26979
0.149 -0.037 -2.319 2.32408
-0.069 -0.005 1.374 1.37574
0.121 0.021 -1.749 1.75331
-0.040 -0.039 1.810 1.81086
-0.045 -0.014 0.968 0.969147
