Mx My Mz abs(M)
0.624 -1.539 -0.551 1.74971
0.645 -1.651 -0.619 1.87749
0.698 -1.732 -0.620 1.96759
0.677 -1.689 -0.630 1.9256
0.739 -1.949 -0.724 2.20656
0.661 -1.677 -0.602 1.90044
0.504 -1.246 -0.457 1.41964
0.409 -0.954 -0.352 1.09604
-0.279 0.600 0.236 0.702522
-0.027 0.045 0.025 0.0581292
0.287 -0.823 -0.311 0.925429
0.521 -1.398 -0.534 1.58461
-0.125 0.347 0.110 0.384882
0.756 -1.802 -0.648 2.0588
0.757 -1.938 -0.678 2.18828
0.403 -1.027 -0.376 1.16555
0.806 -2.093 -0.730 2.35864
-0.499 1.384 0.487 1.54972
0.478 -1.258 -0.467 1.42448
0.661 -1.767 -0.673 2.00303
0.759 -1.965 -0.730 2.2294
0.435 -1.093 -0.412 1.24644
0.660 -1.677 -0.632 1.9098
0.691 -1.725 -0.645 1.96701
0.836 -2.129 -0.765 2.4118
0.783 -2.021 -0.748 2.29282
-0.028 0.066 0.025 0.0759276
0.730 -1.858 -0.697 2.11444
0.773 -1.853 -0.694 2.12433
0.041 -0.099 -0.035 0.112725
0.650 -1.668 -0.620 1.8945
-0.161 0.392 0.147 0.448547
0.434 -1.125 -0.411 1.27393
-0.210 0.505 0.192 0.579646
0.432 -1.094 -0.402 1.24301
-0.067 0.169 0.058 0.190825
0.595 -1.481 -0.548 1.68751
0.779 -1.964 -0.751 2.24235
0.775 -2.001 -0.738 2.2692
0.654 -1.703 -0.640 1.93327
0.729 -1.873 -0.708 2.13092
-0.699 1.538 0.557 1.77885
0.715 -1.817 -0.648 2.05733
0.654 -1.701 -0.645 1.93317
0.159 -0.460 -0.152 0.509887
0.641 -1.641 -0.591 1.85824
0.802 -2.033 -0.762 2.31451
0.238 -0.653 -0.236 0.733995
