Mx My Mz abs(M)
0.367 -0.011 1.721 1.75973
-0.132 0.066 -2.175 2.18
-0.120 0.041 -1.701 1.70572
-0.115 0.072 -1.883 1.88788
-0.126 0.073 -1.930 1.93549
-0.037 0.033 -0.656 0.657871
-0.013 0.018 0.370 0.370666
-0.090 0.076 -1.719 1.72303
-0.078 0.080 -1.545 1.54903
-0.084 0.070 -1.777 1.78036
-0.128 0.090 -2.612 2.61668
-0.084 0.080 -2.050 2.05328
-0.200 0.034 -1.050 1.06942
-0.077 0.056 -1.433 1.43616
-0.123 0.077 -2.221 2.22574
-0.085 0.051 -1.611 1.61405
-0.096 0.060 -1.630 1.63393
-0.062 0.064 -1.573 1.57552
-0.075 0.010 -1.299 1.3012
-0.074 0.046 -1.275 1.27797
-0.064 0.043 -1.752 1.7537
0.090 0.011 0.092 0.12917
-0.041 0.074 -1.793 1.79499
-0.132 0.016 -1.694 1.69921
-0.123 0.080 -1.982 1.98742
-0.105 0.065 -2.287 2.29033
-0.108 0.090 -2.255 2.25938
-0.076 0.066 -1.836 1.83876
-0.005 0.005 -0.200 0.200125
-0.081 0.091 -1.911 1.91488
-0.089 0.078 -2.044 2.04742
-0.067 0.094 -2.032 2.03528
-0.110 0.082 -2.301 2.30509
-0.077 0.067 -1.814 1.81687
-0.079 0.054 -1.208 1.21178
-0.103 0.098 -2.330 2.33433
-0.123 0.087 -2.605 2.60935
-0.097 0.073 -1.643 1.64748
-0.098 0.073 -2.321 2.32421
-0.113 0.087 -2.003 2.00807
-0.091 0.069 -1.595 1.59908
-0.134 0.077 -2.320 2.32514
-0.111 0.100 -1.806 1.81217
-0.092 0.065 -1.485 1.48927
-0.046 0.042 -0.858 0.860258
-0.082 0.084 -1.505 1.50957
-0.102 0.071 -2.353 2.35628
-0.072 0.031 -0.747 0.751102
