Mx My Mz abs(M)
-0.021 0.019 -1.328 1.3283
-0.028 0.036 2.054 2.05451
-0.021 0.029 1.577 1.57741
0.000 -0.013 1.945 1.94504
0.009 -0.044 1.799 1.79956
-0.006 -0.003 0.617 0.617036
0.004 0.019 1.091 1.09117
-0.001 0.000 0.007 0.00707107
-0.040 -0.005 1.233 1.23366
0.155 -0.011 -0.659 0.677072
-0.001 -0.013 2.187 2.18704
-0.060 0.029 2.035 2.03609
0.042 -0.032 1.666 1.66684
0.002 -0.002 -0.208 0.208019
0.126 0.036 -1.558 1.5635
-0.039 -0.021 1.938 1.93851
0.018 -0.001 2.030 2.03008
-0.008 0.001 1.018 1.01803
0.016 0.020 1.424 1.42423
0.036 -0.025 1.522 1.52263
-0.030 -0.015 1.685 1.68533
0.047 -0.030 1.672 1.67293
-0.073 -0.010 -1.789 1.79052
0.023 0.016 2.284 2.28417
-0.095 -0.023 -1.401 1.40441
0.001 0.010 0.694 0.694073
-0.031 0.024 1.577 1.57749
0.099 -0.026 -1.455 1.4586
0.002 0.004 -0.173 0.173058
-0.092 -0.000 1.702 1.70448
0.159 -0.057 -1.473 1.48265
0.026 -0.039 2.050 2.05054
-0.079 -0.019 1.687 1.68896
0.007 -0.011 0.461 0.461184
-0.060 -0.020 1.664 1.6652
0.127 -0.151 -1.714 1.72532
0.022 0.007 1.650 1.65016
-0.017 -0.007 0.977 0.977173
-0.014 -0.006 1.973 1.97306
-0.018 0.024 1.677 1.67727
-0.001 0.019 -1.537 1.53712
0.092 -0.028 2.005 2.0073
-0.008 0.002 0.048 0.0487032
-0.010 -0.024 1.633 1.63321
-0.014 -0.025 0.740 0.740555
-0.014 0.018 0.680 0.680382
-0.040 0.006 1.946 1.94642
-0.014 0.053 2.044 2.04473
