Mx My Mz abs(M)
-0.186 0.006 -1.781 1.7907
0.002 -0.003 0.123 0.123053
0.000 0.005 0.088 0.0881419
0.142 -0.025 -1.380 1.38751
0.191 0.039 -2.197 2.20563
-0.181 -0.058 -2.149 2.15739
0.183 0.064 -1.751 1.7617
0.029 0.001 -0.957 0.95744
-0.290 -0.167 1.891 1.92038
0.150 -0.056 -2.194 2.19983
-0.045 -0.095 -1.789 1.79209
-0.145 0.011 1.850 1.85571
0.126 0.222 -1.573 1.59358
-0.340 -0.082 1.525 1.56459
-0.279 -0.205 1.567 1.60479
0.218 0.028 -1.849 1.86202
-0.046 -0.089 1.083 1.08762
-0.300 -0.214 -1.844 1.88046
0.042 0.001 -0.942 0.942936
0.241 0.008 -1.883 1.89838
-0.086 -0.062 0.584 0.593545
0.063 0.042 -0.338 0.346377
0.055 0.057 -0.651 0.655801
0.030 -0.076 -2.007 2.00866
0.057 -0.036 -1.530 1.53148
0.074 0.014 -1.971 1.97244
-0.080 -0.049 1.926 1.92828
-0.329 -0.174 0.733 0.822074
-0.655 -0.306 1.453 1.62292
0.081 0.001 -1.614 1.61603
0.181 0.078 -1.658 1.66967
0.214 0.053 -2.007 2.01907
0.061 0.236 -1.113 1.13938
0.344 0.116 -1.904 1.9383
0.145 0.018 -1.479 1.4862
-0.240 -0.075 2.015 2.03063
0.046 0.064 -1.729 1.7308
0.069 0.025 -1.462 1.46384
0.035 -0.001 -0.948 0.948646
-0.295 -0.070 1.743 1.76917
-0.162 -0.095 1.552 1.56332
0.035 -0.065 -1.258 1.26016
0.089 0.017 -0.660 0.666191
-0.066 -0.007 0.446 0.450911
0.158 0.055 -2.008 2.01496
-0.035 -0.005 1.005 1.00562
-0.004 0.002 0.042 0.0422374
-0.210 -0.113 1.363 1.3837
