Mx My Mz abs(M)
-0.044 0.084 1.919 1.92134
0.014 0.074 1.548 1.54983
0.020 -0.028 -0.456 0.457296
-0.094 0.172 1.575 1.58715
-0.303 0.304 2.013 2.05825
0.091 0.202 -2.197 2.20814
-0.154 0.119 1.852 1.8622
0.026 0.015 0.294 0.295528
0.087 0.313 1.205 1.24802
0.008 0.018 0.190 0.191018
0.015 0.114 -2.154 2.15707
-0.075 0.020 1.920 1.92157
0.224 0.130 -2.159 2.17448
0.049 0.090 -1.917 1.91974
-0.063 0.257 2.206 2.22181
0.011 -0.033 -1.699 1.69936
-0.034 -0.004 1.729 1.72934
-0.105 0.203 0.359 0.425576
-0.012 0.019 0.318 0.318793
-0.207 0.268 2.002 2.03044
-0.033 0.177 1.452 1.46312
0.047 0.052 2.456 2.457
-0.009 0.005 0.886 0.88606
-0.044 0.056 2.059 2.06023
-0.061 0.145 -1.362 1.37105
-0.360 0.190 -1.818 1.86301
-0.089 0.053 1.186 1.19052
-0.016 0.056 1.419 1.42019
0.023 0.077 1.617 1.619
-0.047 0.216 1.876 1.88898
-0.067 0.184 1.554 1.56629
-0.071 -0.047 -1.435 1.43752
0.024 0.088 1.854 1.85624
-0.068 -0.049 1.853 1.85489
-0.034 0.063 1.751 1.75246
-0.029 0.055 2.110 2.11092
-0.012 0.100 2.051 2.05347
-0.137 0.262 1.152 1.18933
-0.094 0.091 1.689 1.69406
0.011 -0.005 1.247 1.24706
0.165 0.030 -1.661 1.66944
-0.051 0.089 1.921 1.92374
0.004 0.061 0.909 0.911053
0.016 -0.022 -0.616 0.6166
-0.256 0.136 2.124 2.14369
0.027 -0.033 -0.708 0.709283
0.005 -0.002 0.104 0.104139
-0.000 -0.021 0.536 0.536411
