Mx My Mz abs(M)
-0.101 -0.422 -1.343 1.41136
-0.007 -0.708 -2.028 2.14804
-0.060 -0.692 -2.077 2.19007
0.039 0.480 1.492 1.5678
0.142 0.447 1.417 1.4926
0.053 0.451 1.501 1.56819
0.076 0.184 0.636 0.666429
0.135 0.436 1.480 1.54878
0.033 0.235 0.720 0.758099
0.132 0.599 1.823 1.92342
0.128 0.595 1.966 2.05805
0.082 0.545 1.812 1.89396
-0.091 -0.455 -1.468 1.53959
0.010 -0.492 -1.397 1.48114
0.149 0.541 1.826 1.91028
-0.050 -0.369 -1.049 1.11313
0.008 0.036 0.108 0.114123
0.095 0.615 1.829 1.93197
0.120 0.464 1.390 1.4703
-0.067 -0.314 -1.001 1.05123
0.013 -0.533 -1.560 1.64859
0.173 0.642 1.972 2.08108
0.060 0.520 1.476 1.56607
0.201 0.686 2.048 2.16917
-0.022 -0.160 -0.454 0.481871
0.000 -0.466 -1.363 1.44046
-0.019 -0.395 -1.460 1.51261
0.136 0.565 1.726 1.82121
0.004 0.032 0.092 0.0974885
0.085 0.687 2.138 2.24727
0.182 0.595 1.832 1.93478
0.130 0.607 1.886 1.98553
-0.000 -0.626 -1.884 1.98528
0.107 0.574 1.764 1.85812
-0.054 -0.261 -0.666 0.717351
0.062 0.520 1.526 1.61336
0.117 0.835 2.497 2.63551
0.070 0.480 1.483 1.56032
0.068 0.675 2.051 2.16029
0.201 0.587 2.025 2.11792
0.069 0.371 1.117 1.17902
0.192 0.696 2.148 2.26609
-0.172 -0.747 -1.913 2.06086
-0.128 -0.617 -1.539 1.66301
-0.005 -0.337 -1.003 1.05811
0.070 0.232 0.875 0.907937
-0.057 -0.679 -1.953 2.06845
0.058 -0.708 -1.948 2.07348
