Mx My Mz abs(M)
-0.199 -0.092 -1.774 1.7875
-0.170 -0.071 -1.567 1.57779
-0.179 -0.054 -1.468 1.47986
-0.174 -0.047 -1.247 1.25996
-0.218 -0.077 -1.929 1.94281
-0.240 -0.068 -2.005 2.02046
-0.175 -0.038 -1.400 1.41141
-0.156 -0.034 -1.204 1.21454
-0.174 -0.074 -1.520 1.53172
0.018 0.003 0.150 0.151106
-0.067 -0.016 -0.642 0.645685
-0.196 -0.066 -1.577 1.5905
0.030 0.008 0.234 0.236051
-0.227 -0.079 -1.943 1.95781
-0.250 -0.093 -2.249 2.26476
-0.203 -0.065 -1.719 1.73216
-0.283 -0.083 -2.490 2.5074
-0.218 -0.036 -1.804 1.81748
-0.141 -0.068 -1.328 1.33719
-0.231 -0.062 -1.927 1.94179
-0.252 -0.059 -2.002 2.01866
-0.111 -0.028 -1.007 1.01349
-0.247 -0.055 -1.821 1.8385
-0.239 -0.062 -1.744 1.76139
-0.278 -0.104 -2.401 2.41928
-0.281 -0.052 -2.057 2.07676
-0.098 -0.019 -0.883 0.888625
-0.271 -0.085 -2.241 2.25893
-0.277 -0.081 -2.294 2.31208
-0.095 -0.032 -0.683 0.690317
0.125 0.043 1.450 1.45601
-0.024 -0.003 -0.166 0.167753
-0.181 -0.054 -1.633 1.64389
-0.006 -0.002 -0.067 0.0672978
-0.220 -0.066 -1.599 1.61541
0.031 0.009 0.241 0.243152
-0.239 -0.049 -1.821 1.83727
-0.280 -0.068 -2.121 2.14048
-0.301 -0.082 -2.487 2.50649
-0.237 -0.085 -2.072 2.08724
0.126 0.014 1.407 1.4127
-0.247 -0.120 -2.142 2.15953
-0.181 -0.058 -1.615 1.62615
-0.248 -0.102 -2.341 2.35631
-0.238 -0.073 -1.846 1.86271
-0.248 -0.097 -2.088 2.10491
0.253 0.062 1.841 1.85934
0.008 0.003 0.082 0.0824439
