m_i	m_j	r_ij	J	D_x	D_y	D_z
1.729	2.308	2.73112	-89.73667	-1.123	1.706	-1.093
1.626	-1.848	3.1031	-13.11267	-12.446	-1.278	8.507
1.799	1.287	3.23763	-45.511	4.098	1.035	-0.4
1.799	1.759	2.78733	-177.712	2.433	-4.578	-9.273
1.799	1.293	2.54563	-101.36967	2.029	-1.88	-2.213
-1.73	1.889	2.94427	-80.181	0.344	0.306	-4.976
-1.73	1.167	2.90036	21.07367	-1.93	4.053	-9.116
-1.73	1.71	3.04159	-115.404	-5.832	-1.881	4.067
1.889	1.854	3.4391	-14.36333	0.878	0.053	-0.486
1.889	-0.543	2.29677	-47.188	0.886	-0.181	2.129
1.889	-2.006	2.52488	-181.963	5.3	-4.531	-6.444
1.889	1.95	2.49754	70.43833	7.457	5.305	3.464
1.889	1.71	2.50964	-301.63933	-3.886	2.33	1.087
1.889	1.761	2.39279	-119.54233	1.962	-1.732	-0.508
1.293	1.903	2.65192	-41.79633	9.833	4.251	-3.744
1.293	1.854	2.44401	-175.48433	-1.739	1.97	1.434
1.293	1.71	2.5085	-242.206	2.947	8.098	-4.041
-0.132	0.067	2.88839	0.19567	-0.01	-0.005	-0.005
1.287	1.293	2.57208	-50.25567	4.277	2.223	0.453
1.287	1.95	2.85719	17.388	-11.428	2.023	0.67
1.903	1.854	2.75981	35.30133	0.816	3.608	2.162
1.903	2.031	2.43586	-280.28067	3.058	2.834	-16.56
1.903	2.395	2.50954	-471.91	-3.494	12.137	-3.315
1.903	1.494	3.27095	-16.00167	1.229	4.288	-4.387
1.167	1.71	3.05618	-66.31567	0.3	-0.749	0.034
1.167	2.395	2.75824	-55.63933	2.729	3.61	-0.477
1.854	-2.006	2.55791	-146.12633	-0.904	0.233	-5.667
1.854	2.031	2.44248	-137.703	-6.906	2.873	2.321
1.854	1.71	2.84469	20.933	5.175	-0.352	2.396
1.854	1.761	2.35869	-142.369	4.626	-2.308	2.065
-0.543	-2.006	2.53425	-72.022	-3.252	1.875	1.314
-0.543	1.95	2.57206	-33.815	0.645	-0.451	2.833
1.759	1.337	2.50328	-479.381	-1.308	-4.796	7.322
-2.006	1.95	3.35937	-75.33267	-0.598	5.751	-1.533
-2.006	1.761	2.69528	26.21	7.557	-12.404	-5.562
1.293	1.95	2.58847	-326.06567	4.394	0.275	-5.965
1.95	1.761	2.61284	10.80567	1.216	-2.209	0.909
2.031	1.494	2.63017	-257.95967	-0.874	7.645	-3.874
1.71	1.761	2.61835	-31.861	-3.653	1.318	-1.591
1.797	1.337	2.6395	-228.35367	6.895	-3.635	-3.724
1.797	1.494	2.39886	-385.50633	4.663	0.105	0.806
