Mx My Mz abs(M)
0.036 0.116 -1.973 1.97673
-0.063 -0.038 1.184 1.18628
0.002 0.000 -0.081 0.0810247
0.102 0.043 -1.581 1.58487
0.146 0.056 -2.166 2.17164
0.087 0.072 -2.085 2.08806
0.088 0.019 -1.813 1.81523
0.038 -0.012 -0.717 0.718107
0.150 0.078 -1.959 1.96628
0.110 0.043 -1.733 1.73702
0.124 0.049 -1.955 1.95954
0.117 0.077 -1.827 1.83236
0.110 -0.011 -1.837 1.84032
0.095 0.049 -2.126 2.12869
0.180 0.065 -2.342 2.34981
0.030 0.040 -0.640 0.64195
-0.088 -0.032 1.699 1.70158
0.159 0.049 -2.019 2.02584
-0.092 0.034 0.849 0.854647
0.121 0.040 -1.747 1.75164
0.156 0.003 -1.574 1.58171
-0.171 -0.063 2.447 2.45378
-0.010 -0.019 0.184 0.185248
0.062 -0.022 -1.530 1.53141
0.121 0.062 -1.796 1.80114
0.126 0.057 -2.001 2.00577
-0.107 0.040 0.935 0.941952
-0.075 -0.054 0.938 0.942542
-0.128 -0.115 1.916 1.92371
-0.088 0.088 0.752 0.762228
0.086 0.017 -1.188 1.19123
0.115 0.047 -1.761 1.76538
-0.087 -0.057 1.407 1.41084
0.149 0.035 -2.090 2.0956
0.073 0.020 -1.402 1.40404
-0.092 -0.068 2.160 2.16303
-0.124 -0.061 2.125 2.12949
0.143 -0.019 -1.769 1.77487
-0.016 0.002 0.183 0.183709
0.063 0.068 -2.231 2.23292
-0.052 0.010 0.775 0.776807
0.089 -0.007 -1.665 1.66739
-0.061 -0.037 1.160 1.16219
-0.005 0.000 0.073 0.073171
-0.163 -0.023 1.793 1.80054
-0.083 -0.027 1.425 1.42767
0.013 0.001 -0.137 0.137619
-0.051 -0.018 1.108 1.10932
