Mx My Mz abs(M)
0.064 0.035 -1.612 1.61365
-0.043 -0.311 1.507 1.53936
0.059 -0.104 -1.137 1.14327
0.064 0.166 -2.077 2.08461
0.035 0.110 -2.014 2.01731
-0.028 -0.030 0.449 0.450871
-0.110 0.031 0.923 0.930048
0.054 0.118 -1.498 1.50361
0.110 0.012 -1.513 1.51704
0.019 0.097 -1.909 1.91156
0.039 0.134 -2.445 2.44898
0.075 0.056 -1.800 1.80243
0.059 0.021 -1.845 1.84606
0.028 -0.041 -0.491 0.493504
0.015 0.057 -1.446 1.4472
-0.043 0.099 -1.903 1.90606
0.078 -0.156 2.123 2.13015
0.002 0.073 -1.150 1.15232
-0.034 0.067 -1.390 1.39203
0.043 0.075 -1.613 1.61532
-0.014 0.110 -1.792 1.79543
0.019 0.079 -1.817 1.81882
0.027 0.099 -2.069 2.07154
-0.106 0.120 -2.221 2.22676
0.036 0.105 -2.017 2.02005
0.027 0.127 -1.896 1.90044
0.053 0.152 -2.160 2.16599
-0.110 0.176 1.818 1.82981
-0.004 -0.007 -0.025 0.0262679
0.107 0.076 -1.881 1.88557
-0.002 0.103 -1.637 1.64024
0.050 0.124 -2.244 2.24798
0.010 -0.077 1.899 1.90059
0.037 0.107 -1.590 1.59403
0.029 0.019 -1.314 1.31446
0.115 0.185 -2.406 2.41584
0.050 0.091 -1.339 1.34302
0.014 0.098 -1.414 1.41746
0.041 0.168 -2.179 2.18585
0.050 -0.141 1.822 1.82813
-0.033 0.086 1.148 1.15169
-0.006 0.126 -2.309 2.31244
0.001 0.011 -0.638 0.638096
0.010 0.030 -1.737 1.73729
-0.008 0.031 -0.294 0.295738
0.008 -0.057 0.896 0.897847
0.087 -0.151 1.942 1.9498
-0.120 -0.202 1.724 1.73994
