Mx My Mz abs(M)
0.067 0.176 -2.132 2.1403
0.015 -0.067 -0.437 0.442361
-0.002 -0.039 0.733 0.73404
-0.029 0.045 1.593 1.5939
-0.022 0.018 2.240 2.24018
0.018 0.047 1.821 1.8217
-0.023 0.011 1.830 1.83018
0.016 0.026 0.550 0.550847
0.070 -0.116 1.945 1.94971
0.049 -0.072 1.976 1.97792
-0.034 0.127 2.141 2.14503
-0.068 0.068 2.223 2.22508
0.102 -0.630 -1.118 1.28733
0.046 0.078 2.043 2.04501
0.080 -0.047 2.373 2.37481
-0.001 0.006 -0.123 0.12315
-0.038 0.032 1.833 1.83367
-0.021 0.071 2.257 2.25821
0.032 -0.016 1.690 1.69038
-0.042 0.025 2.419 2.41949
0.019 0.002 0.646 0.646282
0.008 -0.012 2.059 2.05905
0.002 -0.039 0.364 0.366089
-0.002 0.010 1.793 1.79303
0.001 0.021 1.931 1.93111
-0.021 0.055 2.364 2.36473
0.057 0.141 -1.781 1.78748
-0.043 0.145 1.568 1.57528
-0.041 0.073 1.626 1.62815
0.053 0.016 2.064 2.06474
0.011 0.006 1.522 1.52205
-0.043 -0.023 -1.230 1.23097
0.147 -0.684 -1.392 1.55792
-0.141 -0.056 -2.060 2.06558
-0.025 0.028 1.745 1.7454
-0.102 0.084 2.404 2.40763
-0.021 -0.074 2.027 2.02846
-0.001 0.011 0.981 0.981062
0.008 0.079 1.466 1.46815
-0.013 0.015 1.856 1.85611
-0.020 -0.105 1.087 1.09224
-0.039 0.147 1.331 1.33966
0.004 -0.053 0.653 0.65516
0.008 -0.002 0.263 0.263129
0.003 -0.034 2.123 2.12327
0.001 0.039 0.847 0.847898
-0.024 -0.022 -0.333 0.334588
0.024 0.068 1.649 1.65058
