Mx My Mz abs(M)
0.234 -0.108 -1.600 1.62062
0.176 -0.179 -1.788 1.80554
0.326 -0.160 -2.053 2.08487
0.268 -0.151 -1.924 1.94844
0.323 -0.188 -2.271 2.30155
0.263 -0.069 -1.513 1.53724
0.145 -0.150 -1.584 1.59768
0.116 -0.090 -0.939 0.950409
0.210 -0.114 -1.263 1.2854
-0.082 0.051 0.632 0.639335
0.141 -0.077 -0.914 0.928012
0.200 -0.116 -1.469 1.48708
-0.123 0.075 0.761 0.774516
0.326 -0.220 -2.112 2.14831
0.366 -0.188 -2.276 2.31289
0.144 -0.119 -1.347 1.35989
-0.085 0.238 2.299 2.31285
-0.113 0.132 1.544 1.55375
0.263 -0.126 -1.586 1.61259
0.224 -0.163 -2.014 2.03296
0.261 -0.190 -2.180 2.20377
0.196 -0.079 -1.292 1.30917
-0.207 0.169 1.775 1.795
0.258 -0.161 -1.973 1.9963
0.404 -0.201 -2.442 2.48334
0.290 -0.193 -2.174 2.20173
0.026 -0.032 -0.363 0.365334
0.232 -0.160 -1.929 1.94948
0.319 -0.186 -2.151 2.18247
0.070 -0.069 -0.514 0.523313
0.211 -0.163 -1.851 1.8701
-0.062 0.043 0.609 0.613656
0.160 -0.125 -1.330 1.34541
0.028 -0.007 -0.168 0.170461
-0.164 0.109 1.226 1.24171
-0.047 0.034 0.336 0.340971
0.228 -0.144 -1.712 1.73311
0.312 -0.155 -2.070 2.09911
0.341 -0.205 -2.403 2.43572
0.293 -0.158 -1.985 2.01272
0.234 -0.171 -2.091 2.11099
0.322 -0.177 -2.082 2.11418
0.310 -0.132 -1.770 1.80178
0.261 -0.176 -2.152 2.1749
-0.065 0.071 0.597 0.604711
0.229 -0.172 -1.956 1.97686
0.029 0.166 1.692 1.70037
0.066 -0.055 -0.569 0.575449
