Mx My Mz abs(M)
-0.207 -0.212 1.703 1.72858
0.238 0.110 -1.994 2.01116
0.124 0.041 -1.755 1.75985
-0.100 -0.113 1.933 1.93888
-0.468 0.055 -1.848 1.90713
-0.075 -0.071 0.631 0.639396
0.221 0.058 -0.543 0.589113
-0.078 -0.167 1.354 1.36649
0.121 -0.131 1.325 1.33695
-0.557 0.023 -1.925 2.0041
-0.261 0.132 -2.239 2.25802
0.047 -0.091 1.411 1.41471
0.026 0.009 -1.670 1.67023
-0.009 -0.057 0.463 0.466582
-0.109 0.051 -1.153 1.15926
0.214 0.114 -1.891 1.90648
0.078 0.173 -1.843 1.85274
-0.000 -0.125 1.336 1.34183
0.168 -0.079 1.269 1.28251
0.006 -0.010 -0.336 0.336202
-0.275 0.060 -1.629 1.65314
-0.224 -0.267 1.746 1.78044
-0.059 -0.146 1.771 1.77799
0.533 0.181 -1.902 1.98355
0.057 -0.125 1.716 1.72149
-0.477 0.038 -1.731 1.79592
-0.073 -0.057 1.669 1.67157
-0.012 -0.154 1.824 1.83053
-0.004 -0.008 0.095 0.0954201
0.003 -0.164 2.086 2.09244
-0.025 -0.168 1.646 1.65474
-0.408 -0.330 2.229 2.28994
-0.308 -0.225 1.693 1.73544
0.009 -0.037 1.159 1.15963
-0.145 0.061 -1.189 1.19936
-0.027 -0.128 2.391 2.39458
-0.086 -0.120 2.139 2.14409
0.012 -0.080 1.268 1.27058
0.113 -0.062 2.070 2.07401
0.060 0.157 -1.859 1.86658
0.002 -0.100 1.518 1.52129
-0.098 -0.266 2.276 2.29359
-0.073 0.085 -1.173 1.17834
-0.164 0.112 -1.602 1.61426
-0.086 0.046 -0.933 0.938084
0.024 0.060 -0.607 0.61043
0.397 0.212 -1.748 1.80501
0.276 0.141 -2.016 2.03968
