Mx My Mz abs(M)
-0.020 0.041 1.850 1.85056
-0.022 0.008 1.648 1.64817
-0.033 0.028 1.452 1.45264
-0.007 0.024 1.518 1.51821
-0.017 0.029 1.970 1.97029
-0.030 0.012 2.028 2.02826
-0.033 0.017 1.143 1.1436
0.092 -0.047 -0.891 0.896969
-0.015 0.032 1.736 1.73636
0.005 -0.004 -0.166 0.166123
-0.009 0.017 0.907 0.907204
-0.001 0.018 1.647 1.6471
0.001 -0.002 -0.061 0.061041
-0.016 0.024 1.960 1.96021
-0.053 0.050 2.290 2.29116
-0.045 -0.000 1.741 1.74158
-0.097 0.049 2.407 2.40945
0.150 -0.116 -1.971 1.9801
-0.023 0.012 1.276 1.27626
-0.021 -0.013 1.984 1.98415
-0.054 0.014 2.118 2.11873
-0.035 0.005 1.193 1.19352
-0.034 0.019 1.620 1.62047
-0.001 0.012 1.900 1.90004
0.013 -0.005 -2.208 2.20804
-0.014 -0.010 2.364 2.36406
0.005 -0.006 0.032 0.0329393
-0.023 0.025 2.319 2.31925
-0.019 0.036 2.514 2.51433
-0.015 0.029 0.822 0.822648
-0.010 0.030 1.999 1.99925
0.015 -0.017 -0.359 0.359715
-0.046 0.023 1.637 1.63781
0.003 0.002 -0.076 0.0760855
0.146 -0.076 -1.753 1.76071
-0.018 0.015 0.203 0.204348
-0.015 -0.001 1.761 1.76106
-0.016 0.024 2.237 2.23719
0.028 -0.008 2.206 2.20619
-0.054 0.004 2.048 2.04872
-0.013 0.001 2.342 2.34204
-0.012 0.051 1.959 1.9597
-0.061 0.031 1.261 1.26286
-0.037 0.004 2.263 2.26331
0.089 -0.071 -1.323 1.32789
-0.031 0.025 2.244 2.24435
-0.018 -0.018 2.249 2.24914
-0.032 0.024 0.803 0.803996
