Mx My Mz abs(M)
-0.000 -0.203 -1.727 1.73889
-0.013 0.052 1.442 1.443
0.015 -0.029 -0.704 0.704757
0.011 0.107 0.966 0.97197
-0.090 0.143 2.101 2.10778
-0.057 0.250 1.845 1.86273
-0.038 0.090 1.684 1.68683
-0.006 -0.000 -0.063 0.0632851
-0.054 0.058 1.523 1.52506
0.008 -0.001 -0.565 0.565058
-0.021 0.117 1.688 1.69218
-0.056 0.139 1.495 1.50249
0.148 -0.077 -1.220 1.23135
-0.007 0.114 2.012 2.01524
0.070 0.218 -2.161 2.1731
0.005 -0.147 -1.812 1.81796
0.174 -0.072 -1.316 1.3294
0.276 -0.019 -1.573 1.59714
0.011 0.059 0.394 0.398545
-0.052 0.149 1.997 2.00323
-0.026 0.040 1.019 1.02012
0.028 0.073 2.434 2.43526
-0.003 -0.001 0.029 0.0291719
0.020 0.112 1.732 1.73573
-0.029 0.064 1.217 1.21903
-0.067 0.131 1.985 1.99045
0.091 -0.110 -1.395 1.40229
0.000 0.088 1.471 1.47363
0.030 0.121 1.603 1.60784
-0.057 0.334 1.317 1.35989
0.042 0.219 -1.248 1.26777
0.021 -0.148 -1.738 1.74442
0.024 0.116 2.071 2.07438
0.118 -0.143 -1.963 1.97174
-0.025 0.104 1.436 1.43998
0.174 -0.092 -1.972 1.9818
-0.057 -0.012 2.026 2.02684
-0.057 0.189 1.477 1.49013
-0.014 -0.002 -0.778 0.778129
-0.021 0.075 1.690 1.69179
0.150 -0.103 -1.291 1.30376
-0.008 0.090 1.441 1.44383
-0.005 0.022 1.315 1.31519
0.040 -0.042 -0.953 0.954763
-0.024 0.142 1.979 1.98423
-0.045 0.072 1.372 1.37462
0.028 -0.118 -1.194 1.20014
0.013 0.015 1.309 1.30915
