Mx My Mz abs(M)
-0.032 -0.116 -1.193 1.19905
0.116 -0.413 -1.557 1.61502
0.047 -0.041 1.138 1.13971
-0.002 0.123 1.623 1.62766
0.054 0.103 1.872 1.87561
-0.007 -0.010 -0.217 0.217343
-0.058 0.141 0.644 0.661801
0.017 0.160 1.915 1.92175
0.060 -0.076 1.549 1.55202
0.014 0.095 0.974 0.978722
0.047 0.109 2.586 2.58872
0.069 0.044 1.722 1.72394
0.015 0.099 1.308 1.31183
-0.020 -0.162 -1.306 1.31616
0.046 0.187 2.056 2.065
0.084 -0.421 -1.892 1.94009
0.038 0.130 1.574 1.57982
-0.033 0.130 1.521 1.5269
-0.031 0.189 1.344 1.35758
0.029 0.157 1.893 1.89972
0.070 -0.330 -1.903 1.93267
0.048 0.117 1.851 1.85532
-0.017 0.148 1.729 1.73541
-0.058 0.282 1.626 1.65129
-0.006 0.130 1.799 1.8037
0.125 -0.350 -1.730 1.76947
0.051 0.123 1.889 1.89369
-0.035 0.118 1.293 1.29884
0.001 -0.021 -0.132 0.133664
0.029 0.017 1.287 1.28744
0.014 0.162 1.903 1.90993
-0.006 0.085 1.167 1.17011
0.009 0.156 1.854 1.86057
-0.023 -0.067 -0.543 0.547601
0.029 0.134 1.759 1.76434
-0.150 -0.169 -2.006 2.01869
0.009 0.213 2.308 2.31783
0.020 0.060 1.293 1.29455
0.025 0.090 1.950 1.95224
0.044 0.154 2.031 2.03731
0.005 0.116 1.710 1.71394
0.034 0.192 2.395 2.40292
0.022 0.124 1.797 1.80141
0.013 0.095 1.337 1.34043
-0.001 0.000 0.067 0.0670075
0.027 0.114 1.494 1.49859
0.080 0.117 1.761 1.76669
0.104 -0.493 -1.848 1.91546
