Mx My Mz abs(M)
-0.017 -0.318 -0.712 0.779972
-0.031 -0.674 -1.819 1.9401
0.085 0.500 1.213 1.31476
-0.082 -0.763 -1.940 2.08626
-0.032 -0.665 -1.723 1.84715
-0.032 -0.327 -0.789 0.854678
-0.048 -0.500 -1.307 1.4002
-0.059 -0.515 -1.348 1.44423
0.030 0.634 1.515 1.64258
-0.050 -0.739 -1.909 2.04766
-0.039 -0.804 -2.042 2.19493
-0.037 -0.571 -1.506 1.61104
0.077 0.568 1.398 1.51095
-0.023 -0.396 -1.071 1.1421
-0.053 -0.650 -1.681 1.80307
-0.046 -0.656 -1.871 1.9832
-0.043 -0.713 -1.800 1.93655
-0.024 -0.326 -0.895 0.952826
-0.032 -0.576 -1.452 1.5624
0.030 0.432 1.097 1.17938
-0.070 -0.558 -1.587 1.6837
-0.037 -0.648 -1.553 1.68318
0.066 0.625 1.573 1.6939
-0.032 -0.791 -2.067 2.21341
0.076 0.719 1.773 1.91475
-0.044 -0.630 -1.701 1.81445
-0.047 -0.681 -1.724 1.85422
-0.045 -0.664 -1.677 1.80423
0.006 0.074 0.223 0.235034
0.027 0.780 1.805 1.96651
-0.050 -0.707 -1.786 1.9215
-0.056 -0.796 -1.998 2.15145
-0.070 -0.807 -2.106 2.25641
-0.033 -0.432 -1.045 1.13126
-0.019 -0.385 -1.072 1.1392
-0.079 -0.872 -2.193 2.36133
-0.105 -0.680 -1.768 1.89717
0.016 0.208 0.494 0.536242
-0.048 -0.808 -2.068 2.22076
-0.067 -0.718 -1.816 1.95394
-0.032 -0.536 -1.424 1.52187
-0.053 -0.843 -2.103 2.26629
-0.039 -0.441 -1.185 1.265
-0.037 -0.555 -1.495 1.59512
-0.057 -0.253 -0.812 0.85241
-0.051 -0.423 -1.085 1.16566
-0.056 -0.846 -2.197 2.35492
-0.057 -0.716 -1.927 2.05651
