Mx My Mz abs(M)
-0.036 -0.072 2.179 2.18049
-0.002 -0.023 1.687 1.68716
-0.016 -0.022 0.890 0.890416
-0.016 0.014 0.744 0.744304
-0.068 0.006 1.882 1.88324
-0.031 -0.065 2.088 2.08924
-0.000 -0.052 1.678 1.67881
-0.032 -0.047 1.376 1.37717
-0.027 -0.056 1.614 1.6152
0.005 0.001 0.558 0.558023
-0.007 -0.043 2.036 2.03647
-0.030 -0.029 0.836 0.837041
0.034 -0.034 -1.433 1.43381
0.007 -0.047 1.978 1.97857
-0.040 -0.015 2.370 2.37038
-0.091 -0.002 1.941 1.94313
-0.018 -0.055 1.716 1.71698
-0.008 -0.068 2.348 2.349
-0.023 -0.047 0.848 0.849613
-0.072 0.012 1.781 1.7825
-0.031 -0.041 1.397 1.39795
-0.019 -0.059 2.435 2.43579
-0.020 -0.023 0.478 0.478971
-0.020 0.020 -1.015 1.01539
-0.017 -0.042 1.957 1.95752
-0.022 0.049 -0.735 0.73696
-0.028 -0.059 1.962 1.96309
-0.021 -0.020 1.393 1.3933
-0.001 -0.060 2.068 2.06887
-0.043 -0.052 2.014 2.01513
-0.025 -0.038 1.224 1.22484
-0.067 -0.010 1.687 1.68836
-0.034 -0.048 2.134 2.13481
-0.117 -0.034 1.578 1.5827
-0.003 -0.008 -1.793 1.79302
-0.022 -0.066 1.939 1.94025
-0.005 -0.055 2.244 2.24468
-0.052 -0.032 1.780 1.78105
-0.016 -0.054 1.160 1.16137
-0.031 -0.046 1.842 1.84284
-0.013 -0.042 1.500 1.50064
-0.014 -0.081 1.756 1.75792
0.003 -0.029 0.493 0.493861
0.000 0.001 -0.120 0.120004
-0.016 -0.053 1.944 1.94479
0.019 0.022 -0.294 0.295434
-0.002 -0.014 0.321 0.321311
-0.008 -0.049 1.750 1.7507
