Mx My Mz abs(M)
-0.081 0.104 -1.907 1.91155
0.044 -0.078 1.819 1.8212
0.045 -0.099 1.632 1.63562
0.101 0.046 -1.803 1.80641
0.129 -0.007 1.486 1.49161
0.021 -0.050 1.091 1.09235
0.036 -0.028 1.409 1.40974
0.043 -0.037 1.578 1.57902
0.051 -0.124 1.406 1.41238
0.066 0.031 1.426 1.42786
0.144 -0.063 2.215 2.22057
0.013 -0.102 1.726 1.72906
-0.091 0.123 -2.076 2.08163
-0.008 -0.044 0.741 0.742348
0.075 -0.007 2.015 2.01641
0.053 -0.095 1.878 1.88115
0.055 -0.095 1.981 1.98404
0.021 -0.041 1.318 1.3188
0.047 -0.035 1.923 1.92389
-0.060 0.095 -1.494 1.49822
-0.026 -0.274 1.586 1.6097
-0.103 0.102 -1.798 1.80383
0.027 -0.078 1.761 1.76293
0.042 -0.049 1.794 1.79516
-0.021 -0.092 1.640 1.64271
0.132 -0.022 -1.720 1.7252
0.082 -0.019 -1.786 1.78798
0.058 -0.029 1.899 1.90011
-0.005 0.017 -0.161 0.161972
-0.132 0.126 -2.067 2.07504
0.067 -0.063 1.836 1.8383
-0.034 0.032 -0.730 0.731492
0.077 -0.074 2.301 2.30348
0.004 -0.020 0.185 0.186121
0.052 0.003 1.079 1.08026
0.071 -0.109 2.228 2.23179
0.063 0.028 -1.816 1.81731
-0.034 0.018 -0.366 0.368016
0.087 -0.095 2.132 2.13589
0.085 -0.084 2.030 2.03351
0.053 -0.027 1.670 1.67106
0.075 -0.040 2.237 2.23861
0.043 -0.040 1.502 1.50315
0.045 -0.026 1.622 1.62283
0.004 -0.095 0.616 0.623295
0.045 -0.058 1.137 1.13937
0.028 -0.117 2.314 2.31713
0.054 -0.082 2.184 2.18621
