Mx My Mz abs(M)
0.006 0.001 1.475 1.47501
-0.021 -0.023 -1.528 1.52832
-0.010 0.026 1.843 1.84321
0.058 0.016 1.510 1.5112
-0.148 0.032 -1.859 1.86516
-0.030 0.027 -1.890 1.89043
-0.019 0.010 -1.106 1.10621
0.002 0.001 -1.078 1.078
0.018 0.005 0.439 0.439397
-0.004 -0.004 -0.216 0.216074
-0.027 0.032 -1.087 1.08781
-0.067 0.030 -1.620 1.62166
0.009 0.001 0.630 0.630065
-0.073 -0.017 1.639 1.64071
-0.058 0.015 2.297 2.29778
0.033 0.084 -1.639 1.64148
-0.026 0.005 2.289 2.28915
-0.051 0.011 -2.042 2.04267
-0.027 0.024 -1.575 1.57541
-0.001 0.001 -0.055 0.0550182
-0.039 0.009 -1.928 1.92842
-0.016 0.021 -1.176 1.1763
-0.021 0.038 -1.962 1.96248
-0.029 0.016 -1.680 1.68033
-0.085 0.049 -2.303 2.30509
0.003 0.032 -2.260 2.26023
-0.002 -0.001 -0.018 0.0181384
-0.031 0.046 -2.291 2.29167
0.016 0.008 2.103 2.10308
-0.010 -0.005 -0.468 0.468134
-0.010 0.024 -1.771 1.77119
-0.006 0.001 -0.256 0.256072
-0.060 -0.030 -1.667 1.66835
0.001 -0.012 -0.158 0.158458
-0.006 0.019 -1.701 1.70112
-0.001 0.004 -0.058 0.0581464
0.000 0.006 -1.812 1.81201
-0.018 0.040 -2.075 2.07546
-0.020 0.029 -2.383 2.38326
-0.045 0.063 -2.202 2.20336
0.180 0.025 1.817 1.82607
-0.025 -0.037 -1.864 1.86453
-0.011 -0.002 1.149 1.14905
-0.080 -0.011 -2.202 2.20348
-0.041 0.012 -1.756 1.75652
-0.021 0.002 -2.241 2.2411
-0.037 -0.002 -2.333 2.33329
-0.036 -0.010 -0.820 0.820851
