Mx My Mz abs(M)
-0.001 0.072 -1.752 1.75348
0.008 0.034 -1.814 1.81434
-0.019 0.047 -1.696 1.69676
-0.016 0.043 -1.674 1.67463
0.002 0.067 -1.904 1.90518
0.013 0.056 -1.915 1.91586
0.010 0.026 1.197 1.19732
0.015 0.027 -0.830 0.830574
-0.010 -0.053 1.061 1.06237
0.004 0.007 -0.249 0.24913
0.020 0.012 -0.640 0.640425
-0.014 0.049 -1.354 1.35496
0.002 0.004 -0.094 0.0941063
0.007 0.064 -2.052 2.05301
-0.001 0.095 -2.271 2.27299
0.002 0.019 -0.292 0.292624
0.011 0.078 -2.270 2.27137
0.008 0.070 -2.371 2.37205
0.012 0.067 -1.871 1.87224
0.001 0.041 -2.066 2.06641
-0.001 0.082 1.761 1.76291
0.025 0.047 -1.347 1.34805
-0.014 0.047 -1.669 1.66972
0.036 -0.043 1.259 1.26025
-0.008 0.112 -2.303 2.30574
0.007 0.081 -2.257 2.25846
-0.003 0.010 -0.194 0.194281
0.033 0.063 -2.246 2.24713
-0.003 0.058 -2.187 2.18777
-0.003 0.021 -0.528 0.528426
-0.010 0.047 -1.837 1.83763
-0.018 -0.004 0.685 0.685248
-0.004 0.018 -0.761 0.761223
-0.003 -0.030 0.470 0.470966
0.016 0.056 -1.525 1.52611
-0.001 -0.003 0.126 0.12604
0.020 -0.051 1.645 1.64591
0.017 0.054 -2.180 2.18073
-0.008 0.089 -2.337 2.33871
0.045 0.046 -2.126 2.12697
0.001 0.053 -1.756 1.7568
0.041 -0.120 2.028 2.03196
-0.007 0.055 -1.389 1.39011
0.001 0.051 -2.363 2.36355
0.011 0.072 -1.876 1.87741
0.040 0.041 -2.024 2.02481
-0.006 0.060 -2.360 2.36077
0.006 -0.003 0.820 0.820027
