Mx My Mz abs(M)
-0.069 -0.122 1.761 1.76657
-0.086 -0.123 1.944 1.94978
-0.060 -0.122 1.792 1.79715
-0.064 -0.068 1.515 1.51788
-0.122 -0.107 1.521 1.52963
0.070 0.034 -0.752 0.756016
-0.043 -0.069 1.163 1.16584
-0.118 -0.092 1.700 1.70657
-0.083 -0.133 1.592 1.5997
0.110 0.222 -1.498 1.51835
0.118 0.020 -2.282 2.28514
-0.084 -0.103 1.962 1.9665
-0.070 -0.116 1.703 1.70838
0.028 -0.065 0.666 0.66975
-0.141 -0.110 2.010 2.01794
-0.086 -0.101 1.784 1.78893
-0.077 -0.082 1.442 1.44638
-0.075 -0.067 1.684 1.687
-0.071 -0.046 1.427 1.42951
0.009 0.010 -0.123 0.123734
-0.055 -0.083 1.629 1.63204
-0.089 -0.118 1.876 1.88181
-0.078 -0.080 1.769 1.77253
-0.098 -0.088 1.936 1.94048
-0.068 -0.024 1.513 1.51472
-0.093 -0.079 1.824 1.82808
-0.121 -0.060 1.856 1.86091
-0.067 -0.097 1.555 1.55946
-0.001 0.001 0.005 0.00519615
-0.109 -0.103 2.009 2.01459
-0.079 -0.103 1.779 1.78373
0.110 0.214 -1.778 1.79421
-0.117 -0.132 1.982 1.98983
-0.005 0.052 -0.835 0.836633
-0.089 -0.077 1.209 1.21471
-0.083 0.260 -1.921 1.94029
-0.113 -0.157 2.615 2.62214
-0.007 -0.042 0.558 0.559622
-0.071 -0.109 2.026 2.03017
-0.107 -0.128 1.839 1.84655
-0.076 -0.103 1.754 1.75866
-0.115 -0.140 2.304 2.31111
-0.109 -0.153 1.748 1.75807
-0.105 -0.111 1.513 1.5207
-0.013 -0.020 0.259 0.260096
-0.079 -0.106 1.273 1.27985
-0.099 -0.109 2.072 2.07723
-0.083 -0.107 1.910 1.91479
