Mx My Mz abs(M)
-0.033 0.015 -1.695 1.69539
-0.009 -0.037 -1.825 1.8254
-0.006 -0.098 -1.955 1.95746
0.003 0.016 -1.952 1.95207
-0.012 0.024 -1.784 1.7842
-0.008 0.030 0.870 0.870554
-0.056 0.020 -1.306 1.30735
0.028 -0.051 -1.507 1.50812
-0.067 -0.221 -1.542 1.5592
0.056 -0.005 1.471 1.47207
0.000 0.016 -2.164 2.16406
0.055 0.004 -1.744 1.74487
-0.020 -0.022 -1.526 1.52629
-0.067 -0.064 -0.207 0.226791
0.008 -0.033 -1.820 1.82032
0.016 0.029 -1.705 1.70532
0.045 -0.013 -1.466 1.46675
0.050 0.044 -0.905 0.907448
0.035 0.001 -1.543 1.5434
0.022 0.009 0.349 0.349809
0.069 0.012 -1.530 1.5316
-0.004 -0.002 -1.808 1.80801
-0.021 0.023 -1.763 1.76328
0.017 0.013 -2.136 2.13611
-0.045 0.070 -1.517 1.51928
0.037 -0.006 -1.511 1.51146
0.035 0.032 -2.109 2.10953
-0.020 0.009 -1.509 1.50916
-0.008 -0.008 0.297 0.297215
-0.002 -0.105 1.916 1.91888
-0.007 -0.077 -1.607 1.60886
0.032 -0.040 -2.055 2.05564
-0.006 -0.081 -2.247 2.24847
0.013 -0.025 -1.156 1.15634
-0.012 -0.032 -1.117 1.11752
0.040 -0.016 -2.246 2.24641
-0.016 0.046 -2.037 2.03758
0.013 -0.002 0.227 0.227381
0.005 0.028 -2.268 2.26818
-0.001 -0.054 -1.993 1.99373
0.011 0.029 -1.566 1.56631
0.026 -0.067 -2.266 2.26714
-0.023 -0.027 -1.158 1.15854
-0.023 -0.028 -1.640 1.6404
0.037 0.052 -0.771 0.773637
-0.010 -0.035 -0.824 0.824804
0.045 0.012 -2.217 2.21749
-0.024 0.031 -2.072 2.07237
