Mx My Mz abs(M)
-0.003 0.028 -1.014 1.01439
-0.044 -0.126 1.723 1.72816
-0.060 -0.091 1.240 1.24478
0.099 0.109 -1.889 1.89473
-0.016 -0.011 0.258 0.25873
-0.017 -0.015 0.328 0.328783
-0.041 -0.055 1.270 1.27185
0.044 0.005 -0.571 0.572715
-0.021 0.036 -1.469 1.46959
-0.046 0.021 0.703 0.704816
0.033 0.096 -2.325 2.32722
0.067 0.070 -1.703 1.70575
0.029 0.055 -1.330 1.33145
0.009 0.040 -0.512 0.513639
-0.047 0.021 1.181 1.18212
0.061 0.155 -1.514 1.52314
-0.066 0.074 2.057 2.05939
0.019 -0.025 1.317 1.31737
-0.006 0.013 1.418 1.41807
0.009 0.048 -1.215 1.21598
0.036 0.115 -1.505 1.50982
0.045 0.054 -1.751 1.75241
-0.017 -0.039 2.211 2.21141
0.013 0.152 -0.480 0.50366
-0.026 -0.038 1.745 1.74561
-0.060 0.147 -1.087 1.09853
0.077 0.070 -1.477 1.48066
0.118 -0.005 -1.291 1.29639
-0.008 0.002 0.039 0.0398623
-0.003 0.042 -1.655 1.65554
0.142 -0.017 -1.960 1.96521
0.071 0.028 -2.030 2.03143
0.121 0.053 -1.971 1.97542
0.029 0.050 -0.763 0.765186
0.052 -0.030 -1.162 1.16355
0.134 0.103 -1.984 1.99119
-0.032 0.032 1.029 1.02999
-0.022 0.005 0.420 0.420606
0.000 0.007 -0.091 0.0912688
0.091 -0.013 -1.719 1.72146
0.164 -0.296 1.399 1.43934
0.113 0.003 -1.998 2.0012
0.069 -0.012 -1.442 1.4437
0.060 -0.001 -1.626 1.62711
0.024 0.043 -0.904 0.90534
0.029 -0.000 -0.723 0.723581
0.126 0.105 -2.045 2.05157
-0.062 -0.156 1.840 1.84764
