Mx My Mz abs(M)
0.228 0.050 -1.257 1.27849
0.383 0.063 -2.010 2.04713
0.322 0.031 -1.737 1.76687
0.351 0.110 -1.913 1.94804
0.324 0.078 -1.823 1.85321
-0.075 -0.001 0.323 0.331595
0.251 0.068 -1.385 1.4092
0.237 0.053 -1.339 1.36084
0.306 0.076 -1.608 1.63862
0.389 0.076 -1.843 1.88514
0.436 0.093 -2.354 2.39584
0.381 0.056 -1.981 2.01808
0.350 0.081 -1.842 1.87671
-0.001 0.002 -0.016 0.0161555
0.329 0.060 -1.707 1.73945
0.369 0.072 -1.888 1.92507
0.281 0.063 -1.546 1.57259
0.233 0.068 -1.512 1.53136
0.252 0.061 -1.470 1.49269
0.266 0.058 -1.246 1.2754
0.119 -0.020 1.272 1.27771
0.350 0.088 -1.866 1.90058
0.306 0.068 -1.922 1.94739
0.299 0.082 -1.658 1.68674
0.368 0.075 -2.082 2.1156
0.403 0.083 -1.655 1.70538
0.377 0.063 -1.993 2.02932
0.233 0.053 -1.220 1.24318
0.019 -0.002 -0.171 0.172064
0.376 0.070 -1.872 1.91067
0.317 0.059 -1.604 1.63609
0.407 0.089 -2.143 2.18312
-0.364 -0.103 1.851 1.88926
0.301 0.026 -1.637 1.66465
0.223 0.043 -1.274 1.29408
0.405 0.094 -2.239 2.27728
0.427 0.155 -2.345 2.38859
0.250 0.054 -1.352 1.37598
0.403 0.092 -2.280 2.31717
0.331 0.063 -1.763 1.79491
0.245 0.075 -1.260 1.28579
0.413 0.088 -2.263 2.30206
0.262 0.047 -1.301 1.32795
0.305 0.055 -1.582 1.61207
-0.021 0.001 0.189 0.190166
0.195 0.044 -1.057 1.07574
0.368 0.064 -2.032 2.06605
0.353 0.088 -1.972 2.00528
