Mx My Mz abs(M)
-0.897 1.495 0.354 1.77903
-0.800 1.359 0.362 1.618
-0.756 1.299 0.337 1.54029
-0.680 1.142 0.301 1.36278
-0.989 1.684 0.425 1.99865
-0.989 1.708 0.441 2.02234
-0.611 1.007 0.269 1.20819
-0.585 1.022 0.277 1.20973
-0.710 1.239 0.289 1.45696
0.043 -0.075 -0.019 0.0885155
-0.408 0.715 0.180 0.842668
-0.805 1.396 0.364 1.65207
0.059 -0.091 -0.021 0.110467
-0.995 1.685 0.422 2.00183
-1.138 1.893 0.467 2.25756
-0.867 1.524 0.409 1.80043
-1.279 2.166 0.566 2.57832
-1.036 1.769 0.459 2.10079
-0.889 1.512 0.399 1.7988
-1.032 1.672 0.447 2.01505
-1.184 1.984 0.537 2.37202
-0.551 0.951 0.239 1.12478
-0.896 1.522 0.395 1.80979
-0.891 1.549 0.408 1.83296
-1.219 2.089 0.554 2.48129
-1.164 1.959 0.533 2.34023
-0.287 0.446 0.138 0.548023
-1.104 1.934 0.478 2.27764
-1.196 2.031 0.501 2.40964
-0.429 0.747 0.192 0.882561
-0.946 1.619 0.410 1.91942
-0.097 0.161 0.052 0.195023
-0.777 1.320 0.371 1.576
-0.070 0.119 0.030 0.141283
-0.824 1.486 0.400 1.74562
0.216 -0.388 -0.095 0.45412
-0.967 1.681 0.443 1.98925
-1.081 1.889 0.481 2.22896
-1.240 2.088 0.544 2.48863
-1.052 1.808 0.451 2.13985
-1.130 1.900 0.508 2.26825
-1.055 1.793 0.438 2.12596
-0.827 1.399 0.358 1.66412
-1.174 1.952 0.507 2.33359
-0.879 1.499 0.395 1.78204
-1.076 1.851 0.461 2.19009
-1.238 2.094 0.558 2.49577
-0.260 0.489 0.163 0.577313
