Mx My Mz abs(M)
0.049 -0.062 1.096 1.09885
0.021 -0.009 1.955 1.95513
0.015 -0.031 1.839 1.83932
-0.133 -0.304 -1.890 1.91891
0.034 0.019 1.441 1.44153
0.008 0.025 -1.059 1.05933
0.031 0.042 0.849 0.850603
0.023 -0.004 -0.547 0.547498
-0.015 -0.077 1.466 1.4681
0.030 0.050 1.153 1.15447
-0.051 -0.005 1.902 1.90269
-0.022 -0.114 -1.803 1.80673
0.031 -0.029 1.747 1.74752
0.005 0.010 0.280 0.280223
0.048 -0.066 -1.154 1.15688
-0.033 0.045 1.671 1.67193
0.016 0.010 2.089 2.08909
0.015 0.013 1.275 1.27515
-0.009 0.068 1.443 1.44463
-0.020 -0.022 -1.235 1.23536
-0.015 0.175 1.437 1.44769
0.077 0.039 1.617 1.6193
0.007 -0.198 2.025 2.03467
-0.031 0.106 2.109 2.11189
-0.044 -0.185 1.451 1.46341
-0.011 -0.008 -0.553 0.553167
-0.005 -0.067 -1.850 1.85122
0.019 0.125 -0.843 0.852429
-0.007 -0.033 -0.363 0.364564
-0.060 -0.075 1.730 1.73266
0.061 0.098 -1.870 1.87356
0.051 0.098 -1.793 1.7964
-0.022 0.013 2.124 2.12415
-0.005 -0.001 0.176 0.176074
-0.029 -0.063 -1.131 1.13312
-0.034 0.050 2.336 2.33678
-0.018 -0.039 -0.145 0.151228
-0.017 -0.018 1.018 1.0183
-0.022 -0.008 1.854 1.85415
0.004 -0.018 1.692 1.6921
0.000 0.049 1.456 1.45682
0.061 0.139 -1.771 1.77749
0.007 0.028 0.428 0.428972
-0.033 -0.082 -1.486 1.48863
-0.034 0.105 0.719 0.727421
-0.003 -0.013 0.265 0.265336
-0.001 0.053 2.194 2.19464
0.020 0.025 2.165 2.16524
