Mx My Mz abs(M)
-0.087 -0.032 2.079 2.08107
-0.000 -0.001 -0.061 0.0610082
0.002 -0.015 0.238 0.238481
-0.060 0.030 1.520 1.52148
-0.053 0.073 1.778 1.78029
-0.076 -0.047 2.108 2.10989
-0.102 0.079 1.222 1.22879
0.012 -0.005 0.428 0.428197
-0.005 -0.013 1.352 1.35207
0.001 -0.001 0.317 0.317003
0.021 -0.013 -1.862 1.86216
-0.040 -0.025 1.369 1.36981
0.013 -0.014 2.372 2.37208
-0.062 -0.024 2.001 2.0021
-0.049 0.007 2.276 2.27654
0.278 0.100 1.751 1.77575
0.022 0.003 1.516 1.51616
-0.036 -0.007 1.538 1.53844
-0.027 -0.015 0.964 0.964495
-0.079 0.063 1.925 1.92765
-0.022 -0.027 1.325 1.32546
0.018 -0.019 2.470 2.47014
0.011 0.009 1.143 1.14309
-0.100 -0.026 1.807 1.80995
-0.019 -0.016 -0.912 0.912338
-0.069 -0.016 -1.192 1.1941
-0.019 -0.020 1.726 1.72622
-0.060 -0.008 1.568 1.56917
-0.060 -0.004 1.630 1.63111
-0.037 -0.009 1.783 1.78341
-0.039 -0.006 1.308 1.3086
-0.136 -0.006 -1.245 1.25242
-0.029 0.003 1.863 1.86323
0.052 0.020 1.762 1.76288
-0.097 -0.025 1.392 1.3956
0.315 0.130 -1.706 1.7397
-0.079 0.023 2.127 2.12859
-0.036 -0.007 1.880 1.88036
-0.028 -0.012 0.696 0.696666
-0.045 -0.026 1.843 1.84373
-0.018 -0.020 2.013 2.01318
-0.080 0.001 1.601 1.603
-0.022 0.025 0.787 0.787704
0.006 -0.000 -0.107 0.107168
0.216 -0.062 -0.678 0.714272
-0.048 0.021 -0.548 0.550499
-0.002 0.005 1.429 1.42901
-0.017 -0.009 0.396 0.396467
