Mx My Mz abs(M)
-0.349 0.137 2.013 2.04762
-0.306 0.148 1.862 1.89277
-0.182 0.098 1.330 1.34597
-0.218 0.052 1.102 1.12456
-0.343 0.107 1.820 1.85513
-0.381 0.092 1.977 2.01548
-0.336 0.125 1.796 1.83143
-0.144 0.032 0.815 0.828242
-0.411 0.156 2.340 2.38094
-0.248 0.118 1.551 1.57513
-0.358 0.049 1.787 1.82317
0.277 -0.127 -1.665 1.69266
-0.376 0.161 2.198 2.23573
-0.365 0.121 1.970 2.00718
-0.426 0.159 2.424 2.46628
-0.322 0.088 1.611 1.64522
-0.336 0.164 2.033 2.06709
-0.342 0.150 2.033 2.06702
-0.103 0.027 0.572 0.581826
-0.323 0.056 1.548 1.58233
-0.276 0.102 1.588 1.61503
-0.423 0.190 2.466 2.50922
-0.247 0.093 1.354 1.37948
-0.386 0.153 2.260 2.29783
-0.382 0.119 2.100 2.13778
0.322 -0.206 -1.969 2.00576
-0.320 0.103 1.785 1.81638
-0.256 0.120 1.436 1.46357
-0.342 0.135 1.928 1.96275
-0.369 0.133 2.093 2.12944
-0.313 0.122 1.802 1.83305
-0.424 0.130 2.113 2.15904
-0.313 0.148 1.834 1.86639
0.324 -0.139 -1.974 2.00524
-0.223 0.061 1.182 1.2044
-0.328 0.122 1.848 1.88084
-0.230 0.114 1.548 1.56914
-0.338 0.118 1.859 1.89316
0.018 -0.010 -0.109 0.110928
-0.270 0.131 1.590 1.61807
-0.256 0.105 1.546 1.57057
-0.287 0.131 1.675 1.70445
-0.203 0.097 1.300 1.31932
-0.119 0.038 0.755 0.765265
-0.324 0.153 1.892 1.92563
-0.186 0.054 1.024 1.04216
0.054 -0.024 -0.396 0.400385
-0.198 0.077 1.056 1.07716
