Mx My Mz abs(M)
0.144 0.117 -1.833 1.84237
-0.073 -0.070 1.465 1.46849
-0.026 -0.004 0.288 0.289199
0.047 -0.105 -1.428 1.43263
0.107 -0.034 2.160 2.16292
-0.042 -0.069 2.085 2.08656
0.007 -0.044 1.808 1.80855
-0.037 -0.005 0.133 0.138141
-0.190 -0.087 1.667 1.68005
0.003 0.013 -0.216 0.216412
-0.069 -0.079 2.220 2.22248
0.037 -0.135 2.230 2.23439
-0.158 -0.067 1.892 1.89977
-0.056 -0.056 2.070 2.07151
0.269 0.151 -2.155 2.17697
0.000 -0.005 2.349 2.34901
0.003 -0.033 1.704 1.70432
-0.046 -0.075 2.296 2.29769
0.017 0.009 0.924 0.9242
0.050 -0.221 -1.762 1.77651
0.010 0.007 -0.164 0.164454
-0.074 -0.073 2.496 2.49816
-0.011 -0.027 0.415 0.416023
-0.059 -0.085 1.622 1.6253
-0.039 -0.046 1.066 1.0677
0.044 -0.069 2.376 2.37741
0.124 0.048 -1.395 1.40132
-0.054 -0.044 1.477 1.47864
-0.062 -0.044 1.927 1.9285
0.258 0.166 -1.441 1.4733
0.240 0.164 -1.835 1.85788
-0.022 -0.045 1.593 1.59379
-0.095 -0.054 1.933 1.93609
0.026 -0.111 1.978 1.98128
-0.012 -0.086 1.394 1.3967
0.083 -0.176 -1.893 1.90298
0.113 0.127 -2.050 2.05704
0.384 0.201 -1.093 1.1758
-0.047 -0.040 1.092 1.09374
-0.091 -0.063 1.841 1.84432
-0.021 -0.072 1.004 1.0068
-0.061 -0.039 1.799 1.80046
0.049 0.060 -0.958 0.961127
-0.042 -0.032 0.630 0.632209
0.018 -0.054 2.194 2.19474
0.015 0.022 -0.411 0.411862
-0.006 -0.029 0.802 0.802547
0.006 0.007 -0.124 0.124342
