Mx My Mz abs(M)
-0.085 -0.080 1.771 1.77484
-0.075 -0.087 1.616 1.62008
-0.078 -0.072 1.444 1.4479
-0.064 -0.060 1.317 1.31992
-0.117 -0.101 2.073 2.07875
-0.110 -0.095 2.024 2.02921
-0.055 -0.098 1.597 1.60095
-0.049 -0.064 1.215 1.21767
-0.099 -0.054 1.661 1.66482
0.029 0.021 -0.359 0.360781
-0.057 -0.023 0.710 0.712656
-0.098 -0.079 1.778 1.78245
0.007 0.004 -0.110 0.110295
-0.127 -0.077 1.968 1.9736
-0.126 -0.109 2.297 2.30303
-0.092 -0.121 1.755 1.76157
-0.166 -0.149 2.588 2.5976
0.093 0.161 -1.651 1.66144
-0.107 -0.102 1.628 1.6347
-0.092 -0.130 2.056 2.06216
-0.103 -0.122 2.304 2.30953
-0.064 -0.042 0.982 0.984979
-0.090 -0.114 1.981 1.98632
-0.107 -0.097 1.758 1.76392
-0.144 -0.141 2.317 2.32575
-0.144 -0.130 2.229 2.23743
0.001 -0.058 0.554 0.557029
-0.136 -0.106 2.201 2.20774
-0.135 -0.092 2.388 2.39358
-0.048 -0.030 1.009 1.01059
-0.114 -0.088 1.899 1.90445
0.008 0.018 -0.256 0.256757
-0.059 -0.125 1.462 1.46852
-0.003 -0.002 0.031 0.031209
-0.056 -0.088 1.550 1.55351
0.027 0.034 -0.643 0.644464
-0.122 -0.101 1.786 1.79301
-0.126 -0.101 2.227 2.23285
-0.177 -0.137 2.397 2.40743
-0.115 -0.117 2.136 2.14229
-0.123 -0.126 2.294 2.30075
-0.135 -0.077 2.173 2.17855
-0.087 -0.096 1.555 1.56039
-0.137 -0.135 2.284 2.29208
-0.003 -0.010 0.097 0.0975602
-0.113 -0.097 2.123 2.12822
-0.125 -0.108 2.257 2.26304
-0.011 -0.063 0.518 0.521933
