Mx My Mz abs(M)
0.057 0.039 -1.915 1.91625
0.020 0.031 -1.701 1.7014
-0.084 -0.069 1.232 1.23679
0.048 -0.017 -1.145 1.14613
0.053 0.068 -2.089 2.09078
0.048 0.035 -2.010 2.01088
0.013 0.041 -1.336 1.33669
0.040 0.037 -1.301 1.30214
0.001 0.021 -0.639 0.639346
0.002 -0.005 0.151 0.151096
0.036 0.057 -0.938 0.94042
0.026 0.081 -1.728 1.73009
0.000 0.002 0.025 0.0250799
0.036 0.030 -2.165 2.16551
0.072 0.053 -2.313 2.31473
0.005 0.039 -1.677 1.67746
-0.165 -0.133 2.245 2.25498
0.022 0.051 -2.028 2.02876
0.033 0.055 -1.717 1.7182
0.047 0.035 -2.056 2.05683
0.025 0.039 -2.211 2.21149
0.031 0.041 -1.257 1.25805
0.034 0.044 -2.151 2.15172
0.023 0.061 -1.868 1.86914
0.038 0.104 -2.475 2.47748
0.055 0.080 -2.368 2.36999
0.022 0.036 -0.822 0.823082
0.041 0.052 -2.305 2.30595
0.066 -0.241 1.509 1.52955
-0.017 0.032 -0.595 0.596102
0.033 0.020 -1.955 1.95538
0.007 0.007 -0.212 0.212231
0.031 0.040 -1.640 1.64078
0.005 0.014 -0.203 0.203544
0.055 0.059 -1.723 1.72489
-0.000 0.002 0.039 0.0390512
0.054 0.057 -1.896 1.89763
0.027 0.034 -2.276 2.27641
0.064 0.077 -2.516 2.51799
0.041 0.078 -2.201 2.20276
0.036 0.024 -2.280 2.28041
0.024 0.097 -2.114 2.11636
0.043 0.058 -1.544 1.54569
0.052 0.040 -2.321 2.32193
0.014 0.029 -1.630 1.63032
0.032 0.042 -2.252 2.25262
0.025 0.040 -2.450 2.45045
0.014 0.017 -0.687 0.687353
