Mx My Mz abs(M)
0.039 0.105 1.994 1.99714
-0.026 -0.002 -0.656 0.656518
0.016 -0.005 -0.709 0.709198
0.054 -0.004 0.954 0.955535
0.008 -0.102 -1.944 1.94669
0.029 0.135 2.033 2.03768
0.087 -0.058 -2.262 2.26442
-0.017 0.044 1.039 1.04007
-0.001 0.025 1.930 1.93016
0.089 -0.005 2.102 2.10389
-0.173 0.131 -1.418 1.43451
0.107 -0.044 1.836 1.83964
-0.057 0.060 1.951 1.95275
0.265 0.074 1.535 1.55946
0.056 0.007 1.914 1.91483
-0.150 0.133 1.559 1.57184
-0.067 -0.016 -1.924 1.92523
0.089 0.080 2.190 2.19327
-0.024 0.056 1.225 1.22651
0.034 -0.089 -2.230 2.23203
-0.013 0.002 0.297 0.297291
-0.010 0.047 -1.771 1.77165
-0.008 0.008 0.401 0.40116
-0.129 -0.018 -1.315 1.32143
-0.084 -0.007 -1.751 1.75303
0.011 0.016 0.393 0.393479
0.064 0.122 1.604 1.60991
0.092 0.006 1.347 1.35015
0.133 0.007 1.889 1.89369
-0.010 0.061 1.795 1.79606
-0.011 0.017 -1.101 1.10119
-0.032 0.050 1.066 1.06765
-0.014 0.025 1.551 1.55126
-0.111 -0.016 -1.986 1.98916
0.070 -0.037 1.095 1.09786
-0.146 -0.015 -2.053 2.05824
-0.034 -0.032 -1.441 1.44176
0.003 0.026 0.957 0.957358
0.021 0.054 0.668 0.670508
0.031 0.024 -1.660 1.66046
-0.027 0.054 1.092 1.09367
0.061 -0.005 -1.221 1.22253
-0.018 -0.012 -0.524 0.524446
-0.054 0.001 -0.947 0.948539
0.023 -0.065 -1.494 1.49559
-0.042 0.002 -0.608 0.609452
-0.001 0.012 0.210 0.210345
0.283 0.042 1.467 1.49464
