Mx My Mz abs(M)
-0.079 -0.019 1.775 1.77686
-0.069 -0.031 1.618 1.61977
-0.074 -0.023 1.452 1.45407
-0.060 -0.015 1.327 1.32844
-0.110 -0.030 2.077 2.08013
-0.102 -0.026 2.023 2.02574
-0.049 -0.044 1.608 1.60935
-0.044 -0.023 1.220 1.22101
-0.093 0.003 1.655 1.65761
0.028 0.009 -0.358 0.359206
-0.055 0.000 0.718 0.720103
-0.092 -0.018 1.786 1.78846
0.007 0.001 -0.111 0.111225
-0.121 -0.011 1.970 1.97374
-0.119 -0.030 2.298 2.30127
-0.085 -0.061 1.767 1.77009
-0.156 -0.060 2.594 2.59938
0.089 0.104 -1.658 1.66364
-0.101 -0.046 1.637 1.64076
-0.086 -0.059 2.058 2.06064
-0.095 -0.043 2.305 2.30736
-0.060 -0.008 0.979 0.98087
-0.081 -0.046 1.980 1.98219
-0.100 -0.037 1.755 1.75824
-0.136 -0.062 2.321 2.32581
-0.136 -0.054 2.233 2.23779
0.002 -0.039 0.560 0.56136
-0.126 -0.031 2.208 2.21181
-0.128 -0.012 2.391 2.39445
-0.045 0.004 1.012 1.01301
-0.108 -0.022 1.898 1.9012
0.007 0.010 -0.264 0.264282
-0.052 -0.074 1.471 1.47378
-0.003 -0.001 0.032 0.0321559
-0.049 -0.035 1.553 1.55417
0.024 0.011 -0.627 0.627556
-0.116 -0.039 1.791 1.79518
-0.118 -0.026 2.230 2.23327
-0.170 -0.055 2.405 2.41163
-0.108 -0.045 2.137 2.1402
-0.115 -0.047 2.300 2.30335
-0.129 -0.004 2.182 2.18581
-0.081 -0.043 1.559 1.56169
-0.130 -0.055 2.290 2.29435
-0.003 -0.008 0.111 0.111328
-0.107 -0.023 2.127 2.12981
-0.117 -0.030 2.259 2.26223
-0.006 -0.042 0.489 0.490837
