Mx My Mz abs(M)
-0.009 -0.032 2.109 2.10926
-0.004 0.011 -2.044 2.04403
0.002 0.034 -1.627 1.62736
-0.004 0.032 -1.879 1.87928
-0.018 -0.118 1.913 1.91672
-0.004 -0.006 0.250 0.250104
-0.041 0.017 -1.278 1.27877
-0.019 0.001 -1.255 1.25514
-0.014 -0.034 1.687 1.6874
-0.003 0.014 -1.791 1.79106
-0.069 -0.048 2.163 2.16463
0.015 -0.016 1.432 1.43217
-0.013 -0.048 1.885 1.88566
-0.013 0.033 -1.376 1.37646
0.007 0.005 -1.873 1.87302
-0.025 0.004 -1.916 1.91617
0.136 -0.177 1.521 1.53729
0.069 -0.018 1.508 1.50969
0.038 -0.037 0.991 0.992418
0.003 0.008 -0.838 0.838044
0.031 -0.005 1.258 1.25839
0.019 -0.020 1.749 1.74922
-0.002 -0.030 1.440 1.44031
-0.028 -0.005 -1.923 1.92321
0.019 -0.030 -1.851 1.85134
-0.025 0.023 -1.845 1.84531
0.008 0.000 -1.811 1.81102
-0.037 0.053 -1.493 1.4944
0.013 -0.009 0.570 0.570219
-0.029 -0.005 1.800 1.80024
-0.002 0.006 -1.342 1.34201
-0.007 0.043 -2.163 2.16344
0.094 -0.122 1.694 1.70099
-0.002 -0.006 -1.649 1.64901
-0.013 -0.074 1.199 1.20135
-0.007 0.018 -2.421 2.42108
0.012 0.055 -1.820 1.82087
-0.001 0.004 -0.093 0.0930914
0.003 0.032 -2.307 2.30722
-0.010 -0.020 -1.707 1.70715
-0.029 0.066 -1.811 1.81243
0.056 -0.063 2.091 2.0927
0.001 -0.042 0.444 0.445983
-0.023 -0.101 1.671 1.67421
-0.029 0.083 -1.101 1.1045
0.014 0.032 -0.671 0.671908
-0.015 0.031 -1.975 1.9753
-0.003 0.004 -1.861 1.86101
