Mx My Mz abs(M)
0.121 0.001 -1.811 1.81504
-0.128 -0.135 1.946 1.95487
-0.084 -0.086 1.865 1.86887
0.040 0.061 -2.097 2.09827
-0.073 -0.042 1.935 1.93683
0.058 0.086 -1.309 1.3131
-0.103 -0.123 1.360 1.36943
-0.011 -0.156 1.610 1.61758
-0.073 -0.085 1.961 1.9642
-0.007 -0.051 1.782 1.78274
0.051 0.110 -2.134 2.13744
-0.054 -0.160 1.507 1.51643
-0.058 -0.064 1.609 1.61132
-0.032 -0.060 0.966 0.96839
-0.061 -0.161 1.523 1.5327
-0.116 -0.160 1.551 1.56354
-0.044 -0.024 1.753 1.75372
-0.168 -0.154 -1.233 1.25389
-0.261 -0.264 -1.217 1.27236
0.006 0.004 -0.104 0.10425
-0.026 -0.061 1.430 1.43154
-0.101 -0.084 1.171 1.17835
0.026 -0.033 -1.828 1.82848
-0.236 -0.278 2.097 2.12847
0.031 0.004 -1.744 1.74428
-0.037 -0.043 1.923 1.92384
-0.045 -0.123 1.914 1.91848
-0.058 -0.051 -1.467 1.46903
0.005 0.005 -0.131 0.131191
0.037 0.127 -1.996 2.00038
-0.138 -0.143 -1.850 1.86064
-0.086 -0.111 2.030 2.03485
-0.036 -0.042 2.064 2.06474
0.032 0.017 -1.353 1.35349
0.041 0.080 -1.054 1.05783
0.020 0.053 -2.337 2.33769
0.052 0.075 -2.027 2.02905
0.022 0.069 -1.389 1.39089
-0.007 0.081 -2.039 2.04062
-0.015 0.027 -0.347 0.348372
-0.060 -0.038 1.098 1.10029
-0.329 -0.284 -2.193 2.23565
0.005 0.005 -0.042 0.0425911
0.057 0.115 -1.418 1.4238
0.034 0.051 0.967 0.968941
0.005 0.062 -0.309 0.315198
-0.005 0.069 -2.234 2.23507
-0.186 -0.191 2.168 2.18433
