Mx My Mz abs(M)
0.641 0.387 2.011 2.14587
-0.344 -0.216 -1.206 1.27257
0.488 0.293 1.599 1.69729
-0.429 -0.247 -1.445 1.52744
-0.624 -0.342 -2.183 2.29605
-0.472 -0.294 -1.726 1.81337
-0.639 -0.370 -2.247 2.36521
-0.205 -0.103 -0.696 0.732837
0.424 0.288 1.525 1.60883
-0.652 -0.371 -2.261 2.3822
0.734 0.322 2.142 2.28705
-0.486 -0.264 -1.719 1.80578
-0.684 -0.217 -2.210 2.32358
0.454 0.246 1.428 1.51849
-0.491 -0.295 -1.794 1.88323
-0.506 -0.242 -1.723 1.812
-0.569 -0.312 -2.064 2.16361
-0.532 -0.304 -1.967 2.06023
-0.417 -0.224 -1.419 1.49587
-0.404 -0.243 -1.414 1.49052
0.423 0.271 1.552 1.63128
0.583 0.398 2.075 2.19178
-0.163 -0.039 -0.516 0.542537
-0.568 -0.332 -2.021 2.12539
-0.342 -0.194 -1.271 1.33043
-0.598 -0.326 -2.106 2.21339
-0.314 -0.163 -1.236 1.28564
0.414 0.262 1.375 1.45968
-0.302 -0.160 -1.076 1.12897
-0.466 -0.258 -1.578 1.66547
-0.431 -0.226 -1.514 1.59029
-0.495 -0.294 -1.726 1.81949
0.423 0.306 1.421 1.51387
-0.534 -0.286 -1.870 1.96567
-0.486 -0.278 -1.684 1.77464
-0.544 -0.301 -1.975 2.07055
-0.273 -0.193 -0.964 1.02033
-0.359 -0.192 -1.171 1.23975
-0.389 -0.213 -1.318 1.39062
0.609 0.358 2.001 2.12204
-0.538 -0.251 -1.820 1.91438
-0.325 -0.221 -1.205 1.26747
-0.346 -0.195 -1.154 1.22043
-0.135 -0.062 -0.463 0.486249
-0.653 -0.356 -2.267 2.38588
0.454 0.288 1.490 1.58403
-0.015 -0.003 -0.034 0.0372827
0.246 0.145 0.824 0.872076
