Mx My Mz abs(M)
0.012 -0.020 1.833 1.83315
0.175 0.010 -1.848 1.85629
0.207 0.303 -1.603 1.64447
-0.017 0.010 1.489 1.48913
0.040 0.038 1.833 1.83383
0.011 0.027 2.143 2.1432
0.033 0.058 1.467 1.46852
0.074 0.078 -0.533 0.543736
-0.061 -0.070 1.317 1.32027
0.003 -0.018 -0.378 0.37844
-0.009 0.004 0.868 0.868056
0.003 0.021 1.507 1.50715
-0.005 -0.006 0.198 0.198154
-0.032 -0.056 1.731 1.7322
-0.009 -0.042 2.223 2.22341
0.041 0.061 1.930 1.9314
-0.199 -0.205 1.888 1.90949
-0.256 -0.159 2.020 2.04236
0.033 -0.068 -1.513 1.51489
-0.040 0.088 1.212 1.21585
0.057 0.105 1.928 1.9317
0.009 0.013 1.156 1.15611
0.019 0.023 1.856 1.85624
0.071 0.035 1.681 1.68286
0.050 -0.147 -2.010 2.01599
0.049 0.027 1.917 1.91782
0.000 0.012 -0.064 0.0651153
0.027 0.030 2.360 2.36035
-0.065 -0.055 2.246 2.24761
-0.004 -0.004 0.287 0.287056
0.107 -0.051 -1.574 1.57846
-0.048 -0.022 0.629 0.631212
0.123 0.060 -1.518 1.52416
0.011 0.009 -0.228 0.228443
0.079 0.095 -1.856 1.86011
0.005 0.003 -0.067 0.0672533
0.048 0.026 2.023 2.02374
-0.000 0.023 2.175 2.17512
-0.002 -0.007 2.082 2.08201
0.003 0.055 -0.674 0.676247
0.032 0.088 1.841 1.84338
-0.055 -0.081 1.772 1.7747
-0.037 -0.072 1.344 1.34644
0.211 0.093 -2.260 2.27173
-0.229 -0.159 1.428 1.45496
0.196 -0.001 -1.161 1.17743
0.062 -0.126 -2.028 2.03286
0.029 0.018 -0.284 0.286044
