Mx My Mz abs(M)
-0.471 -0.149 -1.563 1.63921
0.374 0.187 1.531 1.58707
0.414 0.197 1.623 1.68652
-0.204 -0.003 -2.305 2.31401
0.600 0.212 1.607 1.72841
0.187 0.086 0.779 0.805733
-0.492 -0.120 -1.204 1.30617
-0.572 -0.037 -1.447 1.55639
0.221 0.153 1.331 1.35787
0.514 0.128 1.431 1.52589
0.655 0.253 1.998 2.11779
0.497 0.238 1.699 1.78613
-0.465 -0.113 -1.287 1.37309
0.303 0.126 1.181 1.22574
-0.495 -0.025 -1.277 1.36981
-0.345 -0.109 -1.418 1.46343
0.584 0.239 2.075 2.16883
0.266 0.088 0.911 0.953111
0.432 0.128 1.449 1.51744
-0.030 -0.013 -0.100 0.105209
0.402 0.091 1.392 1.45174
-0.604 -0.119 -1.472 1.59554
-0.493 -0.155 -1.947 2.01442
0.006 -0.003 0.007 0.00969536
-0.457 -0.157 -1.832 1.89466
0.599 0.186 1.729 1.83925
-0.077 -0.012 -1.699 1.70079
0.491 0.180 1.697 1.77575
0.022 -0.003 0.119 0.121054
0.334 0.171 1.696 1.73701
0.512 0.174 1.767 1.84789
-0.799 -0.131 -1.818 1.99015
0.511 0.215 2.035 2.10916
-0.118 -0.016 -1.227 1.23276
-0.284 -0.077 -1.060 1.10008
-0.174 0.037 -2.344 2.35074
-0.033 -0.017 -0.899 0.899766
0.046 0.019 0.166 0.1733
-0.163 0.027 -1.914 1.92112
0.476 0.163 1.783 1.85263
0.403 0.171 1.419 1.485
0.546 0.191 2.090 2.16857
-0.430 -0.117 -1.288 1.36291
-0.442 -0.119 -1.435 1.50624
0.336 0.078 1.076 1.12994
0.198 0.076 0.840 0.86636
0.596 0.304 2.185 2.28514
-0.584 -0.114 -1.733 1.8323
