Mx My Mz abs(M)
0.040 -0.579 1.581 1.68416
-0.103 0.692 -1.998 2.11695
-0.081 0.546 -1.607 1.69915
-0.083 0.662 -1.907 2.02034
-0.088 0.638 -1.894 2.00051
0.056 -0.367 1.033 1.09769
-0.076 0.461 -1.304 1.38518
-0.074 0.532 -1.569 1.65839
-0.082 0.578 -1.565 1.67034
-0.065 0.570 -1.749 1.84069
-0.087 0.816 -2.371 2.509
-0.075 0.684 -1.961 2.07822
-0.077 0.529 -1.424 1.52103
-0.057 0.314 -0.905 0.95962
-0.088 0.608 -1.846 1.94554
-0.090 0.625 -1.794 1.90188
-0.049 0.501 -1.475 1.55853
-0.031 0.402 -1.144 1.21297
-0.079 0.470 -1.428 1.50543
-0.033 0.306 -0.893 0.94455
-0.042 0.587 -1.690 1.78953
-0.103 0.561 -1.570 1.6704
-0.032 0.478 -1.433 1.51096
-0.095 0.583 -1.670 1.77139
-0.052 0.674 -1.961 2.07425
-0.074 0.662 -1.912 2.02471
-0.090 0.728 -2.142 2.26412
-0.077 0.575 -1.727 1.82184
0.005 -0.080 0.217 0.231331
-0.060 0.691 -1.951 2.07062
-0.089 0.614 -1.761 1.86709
-0.087 0.691 -1.993 2.11118
-0.081 0.704 -2.112 2.22772
-0.052 0.575 -1.701 1.79631
-0.042 0.365 -1.082 1.14268
-0.089 0.771 -2.251 2.38104
-0.115 0.782 -2.210 2.34709
-0.058 0.512 -1.428 1.51812
-0.087 0.757 -2.188 2.31689
-0.081 0.644 -1.903 2.01065
-0.081 0.538 -1.542 1.63517
-0.124 0.742 -2.156 2.28348
-0.055 0.440 -1.316 1.3887
-0.060 0.484 -1.449 1.52887
-0.035 0.338 -0.893 0.955467
-0.060 0.453 -1.308 1.38552
-0.087 0.796 -2.263 2.40049
-0.101 0.668 -1.878 1.99582
