Mx My Mz abs(M)
0.023 -0.015 -1.901 1.9012
0.053 -0.033 -1.782 1.78309
0.028 -0.041 -1.160 1.16106
0.064 0.002 -1.579 1.5803
0.125 0.018 -2.051 2.05488
0.057 -0.033 -2.284 2.28495
0.081 0.009 -1.803 1.80484
0.035 0.029 -1.109 1.10993
0.079 0.006 -1.858 1.85969
0.093 -0.011 -2.276 2.27793
0.040 -0.075 -2.086 2.08773
-0.054 0.035 0.728 0.730839
0.119 -0.004 -2.069 2.07242
0.028 -0.085 -2.138 2.13987
0.091 -0.005 -2.173 2.17491
-0.031 -0.038 0.878 0.879369
0.103 -0.006 -1.852 1.85487
0.060 -0.043 -2.050 2.05133
0.032 -0.015 -1.087 1.08757
0.033 -0.027 -0.764 0.765189
0.031 -0.001 -1.147 1.14742
0.182 0.066 2.040 2.04917
0.104 -0.034 -2.057 2.05991
-0.038 -0.163 1.376 1.38614
0.105 0.013 -2.237 2.2395
0.112 0.014 -2.009 2.01217
0.040 -0.035 -1.671 1.67185
0.091 -0.029 -2.104 2.10617
0.084 -0.049 -1.990 1.99237
0.072 -0.009 -2.083 2.08426
0.099 -0.001 -1.917 1.91955
0.148 0.074 -1.854 1.86137
0.079 -0.020 -1.774 1.77587
0.187 0.131 -1.971 1.98418
-0.087 -0.033 1.127 1.13083
0.070 -0.085 -1.993 1.99604
0.049 -0.027 -1.814 1.81486
0.046 0.016 -1.561 1.56176
0.077 -0.027 -2.229 2.23049
0.032 -0.068 -2.052 2.05338
0.113 0.006 -1.980 1.98323
0.079 -0.004 -1.916 1.91763
0.043 -0.013 -1.372 1.37274
0.029 -0.004 -1.121 1.12138
0.073 -0.027 -2.048 2.04948
0.054 0.018 -0.723 0.725237
-0.009 0.004 0.096 0.0965039
0.078 0.075 1.074 1.07944
