Mx My Mz abs(M)
-0.003 -0.043 1.618 1.61857
-0.144 -0.103 -1.498 1.50843
-0.013 -0.045 1.540 1.54071
-0.056 -0.061 1.516 1.51826
-0.055 -0.219 1.851 1.86472
-0.046 -0.060 2.023 2.02441
-0.041 0.126 -1.173 1.18046
0.010 -0.062 -1.312 1.3135
-0.011 -0.004 0.200 0.200342
-0.017 0.042 -0.436 0.438348
-0.041 -0.167 -1.216 1.2281
0.011 -0.099 1.776 1.77879
-0.021 -0.011 0.348 0.348807
-0.082 -0.008 1.980 1.98171
-0.051 -0.210 2.238 2.24841
-0.024 -0.022 1.581 1.58134
-0.110 -0.060 -2.243 2.2465
0.056 0.027 1.467 1.46832
-0.040 -0.000 -1.436 1.43656
-0.058 -0.135 2.271 2.27575
-0.043 -0.048 0.971 0.973136
-0.001 -0.011 0.082 0.0827406
-0.042 -0.043 2.017 2.0179
0.008 -0.030 1.799 1.79927
-0.051 0.002 -2.111 2.11162
-0.096 -0.049 -2.155 2.15769
-0.014 -0.062 0.978 0.980063
-0.010 -0.034 2.031 2.03131
-0.089 -0.016 2.109 2.11094
-0.075 -0.007 1.205 1.20735
-0.198 -0.121 -1.754 1.76928
0.007 0.009 0.219 0.219297
-0.063 -0.125 1.419 1.42589
-0.011 0.029 -0.182 0.184624
-0.016 -0.040 -0.915 0.916014
-0.000 -0.002 -0.180 0.180011
-0.013 -0.026 -1.217 1.21735
-0.046 -0.072 2.220 2.22164
-0.282 -0.018 2.103 2.1219
0.035 -0.162 -1.940 1.94707
-0.069 -0.099 2.165 2.16836
-0.144 0.003 1.872 1.87753
-0.038 -0.086 1.185 1.18872
-0.088 -0.210 2.027 2.03975
-0.006 0.002 -0.184 0.184109
-0.089 -0.037 -1.187 1.19091
-0.127 -0.009 -1.839 1.8434
-0.032 -0.076 0.913 0.916716
