Mx My Mz abs(M)
0.089 0.001 -0.839 0.843708
-0.094 0.063 1.421 1.4255
-0.075 0.057 1.507 1.50994
0.239 0.092 -1.667 1.68656
-0.078 -0.058 1.844 1.84656
0.025 0.008 -0.717 0.71748
0.057 0.025 -1.671 1.67216
-0.138 0.003 1.224 1.23176
0.178 -0.095 -1.359 1.3739
-0.039 0.074 -1.551 1.55325
-0.117 -0.031 2.434 2.43701
0.361 -0.190 -1.482 1.53712
0.125 0.003 -1.219 1.2254
-0.076 0.034 0.645 0.650351
-0.052 0.110 -1.473 1.47802
0.122 0.005 -1.586 1.59069
-0.169 0.059 1.633 1.64278
0.131 -0.011 -1.188 1.19525
0.131 -0.010 -1.454 1.45992
0.001 0.001 -0.027 0.027037
0.148 -0.037 -1.979 1.98487
0.143 -0.002 -1.736 1.74188
-0.179 -0.021 1.934 1.94238
0.152 -0.008 -2.155 2.16037
-0.159 -0.033 1.764 1.77146
0.067 -0.084 0.642 0.650929
-0.050 -0.105 1.713 1.71694
0.106 -0.008 -1.892 1.89498
0.011 0.006 -0.116 0.116675
0.246 -0.114 -1.370 1.39657
-0.184 0.069 1.145 1.16174
-0.043 -0.001 0.139 0.145503
0.009 0.020 -1.833 1.83313
-0.083 -0.041 1.437 1.43998
-0.109 0.034 1.452 1.45648
-0.144 -0.025 1.842 1.84779
0.122 0.064 -1.079 1.08776
-0.060 -0.020 0.946 0.948112
-0.107 -0.016 1.893 1.89609
0.032 0.069 -2.002 2.00344
0.130 -0.047 -1.649 1.65478
-0.347 0.123 1.935 1.96971
-0.124 0.014 1.127 1.13389
-0.145 0.026 1.656 1.66254
0.099 -0.028 -0.898 0.903874
0.046 0.011 -0.648 0.649724
0.254 -0.092 -1.948 1.96664
0.058 0.050 -2.028 2.02945
