Mx My Mz abs(M)
0.032 0.060 -1.990 1.99116
0.003 -0.007 1.098 1.09803
0.099 -0.012 -1.665 1.66798
0.084 -0.034 -1.587 1.58959
0.036 0.001 1.768 1.76837
0.065 0.056 -1.699 1.70116
-0.033 0.034 0.532 0.534106
0.005 0.022 0.983 0.983259
-0.008 0.032 -0.707 0.707769
-0.004 -0.005 -0.651 0.651031
-0.032 0.010 0.669 0.66984
-0.034 -0.027 1.168 1.16881
0.011 0.013 -0.577 0.577251
0.028 -0.032 -1.607 1.60756
0.128 0.013 -2.245 2.24868
-0.054 0.024 0.249 0.255916
0.062 -0.023 1.928 1.92913
-0.073 -0.044 -1.989 1.99083
-0.008 0.020 -1.441 1.44116
0.051 -0.082 1.800 1.80259
-0.065 -0.001 1.933 1.93409
-0.047 0.001 0.984 0.985122
0.046 0.048 -1.567 1.56841
-0.044 0.044 1.521 1.52227
0.007 -0.016 -1.866 1.86608
-0.002 0.002 -1.864 1.864
0.016 -0.024 0.477 0.477871
-0.049 0.019 2.354 2.35459
0.048 -0.007 1.999 1.99959
0.003 0.002 0.601 0.601011
0.039 -0.021 1.190 1.19082
-0.027 0.006 -0.616 0.616621
0.009 0.001 0.544 0.544075
0.004 -0.031 0.366 0.367332
-0.006 -0.001 2.004 2.00401
-0.016 0.002 0.522 0.522249
-0.107 0.097 -1.179 1.18781
-0.024 0.026 1.921 1.92133
0.076 -0.225 2.127 2.14022
-0.122 -0.000 2.109 2.11253
0.071 -0.053 -1.627 1.62941
0.020 0.043 -1.949 1.94958
0.041 0.004 -0.955 0.955888
0.049 -0.019 2.223 2.22362
-0.064 -0.022 -1.654 1.65538
-0.033 0.003 2.110 2.11026
0.016 -0.022 2.171 2.17117
0.000 -0.001 -0.081 0.0810062
