Mx My Mz abs(M)
0.111 -0.015 -1.256 1.26098
-0.200 0.012 1.677 1.68893
0.162 -0.020 -1.476 1.485
-0.828 0.324 2.134 2.31182
0.318 -0.029 -2.003 2.02829
0.179 -0.038 -0.998 1.01464
-0.071 0.007 0.551 0.5556
0.101 0.006 -1.402 1.40565
0.214 0.016 -1.808 1.82069
0.286 -0.037 -1.782 1.80518
0.327 -0.024 -2.228 2.252
0.248 -0.027 -1.673 1.6915
0.192 0.011 -1.841 1.85102
0.155 -0.027 -1.053 1.06469
0.239 -0.052 -1.900 1.91568
0.245 -0.071 -1.496 1.51759
0.179 -0.044 -1.934 1.94276
0.168 -0.063 -0.683 0.706174
0.208 -0.077 -1.165 1.18592
0.178 -0.048 -1.079 1.09464
0.301 -0.074 -1.648 1.6769
0.180 -0.030 -1.537 1.54779
-0.363 0.094 1.770 1.80928
0.390 -0.120 -2.189 2.22671
-0.330 0.082 1.569 1.60542
0.293 -0.059 -1.829 1.85326
0.308 -0.023 -1.924 1.94863
0.233 -0.027 -1.737 1.75277
0.017 -0.008 -0.112 0.113565
0.259 -0.010 -1.758 1.777
0.261 -0.034 -1.982 1.9994
0.356 -0.068 -2.337 2.36494
0.240 -0.029 -2.160 2.17349
-0.283 0.167 0.657 0.734593
0.231 -0.025 -1.236 1.25765
-0.919 0.416 2.091 2.32162
-0.425 0.161 1.405 1.47668
-0.173 0.059 0.587 0.6148
-0.659 0.245 1.850 1.97909
0.227 -0.062 -1.880 1.89467
0.216 -0.045 -1.477 1.49339
0.310 -0.093 -2.213 2.23654
0.220 -0.022 -1.133 1.15437
0.250 -0.017 -1.535 1.55532
0.171 -0.063 -0.859 0.878118
0.145 -0.026 -0.883 0.895204
0.324 -0.091 -2.166 2.19199
-0.213 -0.002 1.702 1.71528
