Mx My Mz abs(M)
0.095 0.194 -1.934 1.94603
0.016 0.001 0.178 0.17872
0.032 0.053 -0.643 0.645974
0.040 -0.077 -1.571 1.57339
-0.052 -0.101 2.027 2.03018
0.100 0.177 -2.109 2.11878
-0.001 -0.039 -0.559 0.56036
0.027 0.057 -0.774 0.776566
-0.027 -0.010 -1.447 1.44729
0.002 0.013 -0.070 0.071225
-0.025 -0.135 1.788 1.79326
0.095 0.108 -1.621 1.62737
-0.060 0.047 -2.371 2.37222
0.033 0.120 -1.995 1.99888
0.142 -0.027 1.807 1.81277
0.061 0.047 -1.484 1.486
0.050 0.052 -1.393 1.39487
-0.041 -0.069 0.641 0.646005
0.022 0.036 -1.047 1.04785
0.063 -0.165 -1.596 1.60574
0.044 -0.012 -1.136 1.13692
-0.011 0.075 -2.401 2.4022
-0.002 0.014 -0.377 0.377265
0.014 -0.031 -1.759 1.75933
-0.013 -0.046 0.530 0.532151
-0.035 -0.053 1.577 1.57828
0.043 0.087 -1.518 1.5211
-0.057 0.011 -1.634 1.63503
-0.076 0.029 -1.563 1.56512
0.057 0.091 -1.789 1.79222
0.050 0.046 -1.255 1.25684
-0.040 -0.042 1.265 1.26633
-0.062 0.009 -1.935 1.93601
0.133 0.061 -1.814 1.81989
-0.059 -0.045 -1.552 1.55377
0.520 0.249 1.727 1.82069
-0.135 -0.273 1.563 1.5924
-0.032 -0.006 1.483 1.48336
-0.010 0.026 -0.795 0.795488
0.023 0.091 -2.010 2.01219
0.015 0.064 -1.970 1.9711
-0.063 -0.039 -1.472 1.47386
-0.031 -0.136 0.844 0.855449
-0.014 0.022 -0.299 0.300135
0.019 0.038 -1.865 1.86548
-0.009 -0.063 0.507 0.510978
0.013 0.020 -1.137 1.13725
-0.013 0.010 -0.704 0.704191
