Mx My Mz abs(M)
-0.246 -0.136 -2.014 2.03352
-0.012 -0.013 -0.106 0.107466
-0.179 -0.074 -0.945 0.964646
0.240 0.013 0.929 0.959588
0.214 0.116 1.268 1.29115
0.147 0.144 2.126 2.13594
-0.048 -0.105 -1.490 1.49447
0.004 0.068 0.434 0.439313
0.211 0.135 1.691 1.70945
-0.492 -0.190 -1.461 1.55328
0.097 0.170 1.821 1.83149
-0.240 -0.148 -2.041 2.06038
0.359 0.163 2.072 2.10918
-0.250 -0.065 -1.150 1.17865
-0.695 -0.228 -2.135 2.25682
-0.395 -0.183 -1.736 1.78975
-0.248 -0.145 -1.659 1.68369
0.188 0.148 1.957 1.97157
0.016 0.039 0.313 0.315826
0.375 0.154 1.994 2.03479
0.077 0.067 0.560 0.569226
0.315 0.169 2.201 2.22984
-0.058 -0.033 -0.246 0.25489
0.378 0.170 2.108 2.14836
-0.015 0.164 1.440 1.44939
-0.266 -0.145 -1.976 1.99909
-0.394 -0.149 -2.087 2.12909
0.251 0.120 1.559 1.58363
0.278 0.155 1.984 2.00937
-0.068 0.204 1.588 1.60249
-0.022 0.168 1.099 1.11198
-0.351 -0.172 -1.790 1.83218
0.310 0.149 1.842 1.87384
-0.289 -0.171 -2.004 2.03194
0.270 0.118 1.536 1.56401
0.374 0.165 2.138 2.17673
0.907 0.303 1.916 2.14138
-0.414 -0.096 -1.686 1.73874
0.119 0.053 1.187 1.19413
-0.251 -0.123 -1.970 1.98973
-0.210 -0.105 -1.230 1.25221
0.337 0.132 1.718 1.75571
0.386 0.127 0.911 0.99752
-0.162 -0.038 -0.639 0.66031
-0.220 -0.168 -1.879 1.89928
0.399 0.151 0.988 1.07617
0.090 0.077 0.659 0.66956
0.214 0.075 1.149 1.17116
