Mx My Mz abs(M)
0.042 -0.360 1.860 1.89498
0.080 -0.439 2.145 2.19092
0.055 -0.325 1.668 1.70026
0.069 -0.389 1.948 1.98766
0.080 -0.392 1.950 1.99062
-0.025 0.120 -0.676 0.687023
0.079 -0.280 1.307 1.33899
0.066 -0.297 1.509 1.53937
0.061 -0.344 1.619 1.65627
0.040 -0.344 1.720 1.75452
0.071 -0.508 2.448 2.50116
0.064 -0.418 2.044 2.08728
0.067 -0.369 1.794 1.83278
0.042 -0.253 1.238 1.26429
0.066 -0.394 2.048 2.0866
0.061 -0.378 1.779 1.81974
0.020 -0.299 1.499 1.52866
0.028 -0.273 1.218 1.24853
0.060 -0.274 1.348 1.37687
0.029 -0.195 1.142 1.15889
0.053 -0.395 1.818 1.86117
0.055 -0.363 1.734 1.77244
0.035 -0.308 1.517 1.54835
0.087 -0.396 1.826 1.87047
0.061 -0.385 1.927 1.96603
0.064 -0.414 2.039 2.08159
0.060 -0.452 2.249 2.29476
0.055 -0.375 1.851 1.8894
0.009 -0.011 0.084 0.0851939
0.034 -0.416 2.012 2.05484
0.060 -0.380 1.889 1.92778
-0.098 0.170 -0.887 0.908445
0.061 -0.452 2.224 2.27029
0.035 -0.376 1.863 1.90089
0.038 -0.228 1.137 1.16026
0.063 -0.474 2.328 2.3766
0.093 -0.463 2.272 2.32056
0.055 -0.317 1.490 1.52434
0.076 -0.474 2.305 2.35446
0.073 -0.408 1.945 1.98867
0.053 -0.348 1.706 1.74194
0.088 -0.456 2.240 2.28764
0.031 -0.274 1.315 1.3436
0.035 -0.298 1.462 1.49247
0.028 -0.220 0.934 0.959969
0.058 -0.317 1.436 1.47172
0.067 -0.491 2.390 2.44083
0.100 -0.405 1.937 1.98141
