Mx My Mz abs(M)
0.030 0.034 -1.004 1.00502
-0.003 0.008 2.009 2.00902
0.040 -0.001 1.351 1.35159
-0.055 -0.069 1.702 1.70429
-0.211 0.204 -1.439 1.46862
-0.000 0.000 -0.027 0.027
0.007 -0.004 1.036 1.03603
-0.003 0.134 -1.217 1.22436
0.061 -0.061 1.318 1.32082
-0.174 0.266 -1.241 1.28106
-0.074 -0.028 2.240 2.2414
0.011 0.002 1.793 1.79303
0.319 -0.019 -1.244 1.28439
-0.005 -0.029 0.627 0.62769
-0.019 0.146 -1.198 1.20701
-0.054 -0.013 1.748 1.74888
0.183 -0.118 1.786 1.79922
-0.057 0.149 -1.437 1.44583
-0.071 0.175 -0.980 0.998031
0.119 -0.031 1.022 1.02937
-0.056 -0.082 1.777 1.77977
0.040 -0.156 1.557 1.56531
0.009 0.110 -2.047 2.04997
-0.050 0.045 2.091 2.09208
0.006 0.082 -1.563 1.56516
-0.056 -0.102 0.955 0.962063
-0.040 0.139 -1.021 1.03119
0.001 0.164 -1.578 1.5865
0.002 0.012 -0.136 0.136543
-0.006 -0.060 1.742 1.74304
-0.081 0.181 -1.602 1.61423
0.001 -0.146 1.937 1.94249
0.024 0.194 -1.785 1.79567
-0.022 -0.056 0.935 0.936934
-0.130 0.047 1.194 1.20198
0.044 0.285 -1.918 1.93956
0.008 -0.071 0.772 0.775299
-0.009 -0.037 0.609 0.610189
-0.022 0.262 -1.566 1.58792
0.092 -0.127 1.865 1.87158
0.006 0.178 -1.495 1.50557
-0.052 -0.118 1.614 1.61914
-0.017 0.020 -0.316 0.317088
-0.089 0.014 1.590 1.59255
0.009 -0.020 0.306 0.306785
0.001 -0.058 0.633 0.635652
0.026 0.069 1.964 1.96538
-0.042 0.028 1.994 1.99464
